TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10.0,TpsRandomic + IndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15.0,TpsRandomic + IndividualEstimated_INR + -15.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10.0,TpsRandomic + CumulativeIndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15.0,TpsRandomic + CumulativeIndividualEstimated_INR + -15.0
"[5.04943055e-03 1.98654025e-03 3.88568061e-03 1.42970238e-04
 6.13947561e-03 2.30346072e-04 2.48268590e-03 5.37593314e-04
 4.70519748e-03 7.02311901e-03 2.24702966e-03 5.04605658e-03
 6.87605652e-06 1.64380705e-03 3.43982010e-05]","[0.         0.00036783 0.01118949 0.         0.01186367 0.00468237
 0.0054432  0.01163457 0.00056201 0.00888403 0.01066238 0.00011617
 0.005396   0.00980547 0.        ]","[0.00000000e+00 2.88101479e-03 8.63480280e-03 0.00000000e+00
 9.40692664e-03 1.05825102e-03 4.91794007e-03 5.16296850e-03
 1.94317344e-04 7.90884052e-03 4.00793050e-03 8.46963068e-03
 5.46464360e-05 3.34022636e-03 5.10207143e-05]","[0.00000000e+00 5.26736191e-03 3.19478811e-03 0.00000000e+00
 9.84262583e-03 9.41194077e-04 9.03016092e-03 9.11692856e-03
 8.37329588e-03 6.86707514e-03 8.50844192e-03 1.09410645e-05
 3.95771987e-03 4.08812020e-03 2.14225758e-04]","[0.00000000e+00 7.60061222e-03 5.67528761e-03 0.00000000e+00
 9.86539713e-03 5.13145942e-03 6.80112631e-03 6.78474889e-03
 4.94658810e-06 7.77929104e-03 7.63822551e-03 9.47895155e-03
 4.14078612e-04 9.36231590e-04 2.54852796e-04]","[0.         0.02214605 0.         0.         0.02147607 0.
 0.         0.02179729 0.02136801 0.0117178  0.         0.01331209
 0.0035374  0.01696824 0.00837472]","[0.00000000e+00 4.61099160e-03 5.18873752e-03 7.08933436e-03
 8.45252648e-03 6.77732638e-04 5.62863199e-03 2.10609618e-03
 5.80098518e-04 7.23625893e-03 6.48236186e-03 7.19569711e-03
 1.06560106e-06 8.22033384e-03 5.43859499e-04]","[0.         0.01432836 0.01706872 0.         0.         0.01340205
 0.01524985 0.01694206 0.01671934 0.01678586 0.         0.01186811
 0.01594969 0.01478124 0.        ]","[0.00000000e+00 5.53922746e-03 8.94163526e-03 0.00000000e+00
 9.97022884e-03 1.02323016e-03 6.93802625e-03 6.24304458e-03
 1.87719709e-05 9.86705276e-03 5.70653856e-03 8.71664230e-03
 1.66015743e-04 4.01936526e-03 1.84515148e-03]","[0.         0.01300604 0.01666088 0.         0.01688431 0.01057701
 0.         0.01755407 0.01708705 0.00760811 0.         0.01499493
 0.01760077 0.01661414 0.        ]","[0.00000000e+00 7.90106287e-03 9.77227034e-03 0.00000000e+00
 9.98315760e-03 1.48632737e-03 9.14710512e-03 4.84118334e-03
 3.51415892e-05 8.20048850e-03 5.06282921e-03 9.86229797e-03
 4.88692776e-04 7.82510478e-03 7.70433017e-03]","[0.         0.02129731 0.         0.         0.02899187 0.00169731
 0.01233057 0.         0.02270623 0.         0.         0.0032406
 0.02118535 0.02199757 0.        ]"
"[4.55461841e-04 3.78284263e-03 1.35439845e-03 1.40257431e-05
 1.07824484e-05 2.34989797e-03 7.29636423e-04 7.15523638e-03
 4.96364776e-03 9.34072498e-06 6.69731173e-04 1.21192592e-03
 2.99448233e-06 7.12804852e-03 4.81877173e-04]","[5.08033811e-03 5.94857527e-03 1.40820751e-03 3.36492720e-05
 1.99905432e-05 1.80635929e-03 2.11943484e-07 7.32839037e-03
 5.14946620e-03 5.26470312e-05 6.06618260e-03 5.99856598e-04
 3.14165668e-06 4.43467879e-05 8.46896154e-04]","[1.00708264e-04 3.66897360e-03 0.00000000e+00 1.89099544e-04
 2.15785438e-05 8.47906545e-03 1.76597164e-03 8.48519688e-03
 8.35161814e-03 3.81553312e-04 2.30620910e-04 1.98336506e-03
 7.84965503e-06 8.49449346e-03 8.00937610e-05]","[3.72548029e-03 1.16989840e-03 0.00000000e+00 1.72632081e-04
 2.10630277e-04 0.00000000e+00 4.05653755e-03 9.85173967e-03
 9.29454835e-03 6.73300521e-03 2.04933492e-05 1.94805735e-03
 3.84923182e-03 9.76624250e-03 7.69511262e-05]","[1.43403023e-04 5.89673880e-03 0.00000000e+00 8.51209673e-05
 2.38806749e-05 8.19249439e-03 1.90609059e-03 8.48368594e-03
 3.77928374e-03 6.65573037e-04 6.27796888e-03 2.57936413e-03
 2.33212759e-05 8.47334255e-03 8.85712834e-05]","[0.         0.01532556 0.         0.01020563 0.         0.
 0.01143928 0.         0.01364895 0.01400066 0.00775292 0.00189831
 0.00885372 0.01053328 0.01761352]","[1.42609165e-03 7.93721830e-03 0.00000000e+00 3.70336069e-05
 1.25665465e-04 4.89548325e-03 3.09324882e-03 8.32615048e-03
 6.14590904e-03 1.41609630e-04 2.13527713e-03 7.11774496e-03
 1.40955471e-04 8.42381146e-03 4.51428607e-04]","[0.00891613 0.0079174  0.         0.00732418 0.         0.
 0.01301205 0.         0.00890124 0.00138969 0.00276007 0.00886926
 0.01018934 0.01279648 0.00762857]","[7.00566650e-05 3.59335226e-03 0.00000000e+00 6.71231405e-05
 8.47573310e-04 8.05404181e-03 7.81168457e-03 8.51062438e-03
 7.30887038e-03 4.21080090e-05 2.71842314e-03 1.48054029e-03
 7.56982449e-06 8.46306701e-03 2.48925729e-03]","[0.00392428 0.01705204 0.         0.00051034 0.         0.
 0.01542323 0.         0.01267583 0.01535123 0.01739507 0.01462812
 0.0136511  0.01760587 0.        ]","[0.00077505 0.00013961 0.         0.00123253 0.00145534 0.00986723
 0.00432836 0.         0.00621792 0.00018047 0.00245089 0.00328152
 0.00035708 0.00969151 0.00030379]","[0.         0.01279274 0.         0.00603816 0.         0.01418519
 0.01167492 0.         0.00768171 0.00914538 0.00063014 0.00397617
 0.00143347 0.01401028 0.00191449]"
"[0.0095867  0.00397002 0.00776873 0.         0.00052496 0.00704173
 0.00989805 0.00998122 0.00996756 0.00531864 0.00351242 0.00440692
 0.00831069 0.         0.00621786]","[0.01730111 0.01485479 0.         0.         0.01083555 0.01675729
 0.00912816 0.01769137 0.01424468 0.         0.01670002 0.
 0.01198095 0.         0.01765771]","[0.01174101 0.01168607 0.00024224 0.         0.0020815  0.01142571
 0.01126574 0.01185192 0.01091901 0.         0.0105348  0.01089462
 0.01068726 0.         0.01181794]","[0.02869173 0.01675077 0.         0.         0.02885745 0.0288782
 0.02789068 0.02872285 0.02258759 0.         0.02322721 0.
 0.         0.         0.        ]","[0.01411082 0.01316913 0.01129881 0.         0.00582163 0.00959757
 0.01415015 0.01426538 0.01368138 0.         0.00906806 0.
 0.01428243 0.         0.01321583]","[0.         0.01013865 0.         0.         0.02196692 0.01239603
 0.02233288 0.02233811 0.02177742 0.         0.02215702 0.
 0.02184857 0.         0.02075875]","[0.01434305 0.01348329 0.01411698 0.         0.00514311 0.00922783
 0.01410738 0.01427262 0.01433672 0.         0.00970016 0.
 0.01263488 0.         0.01429455]","[0.02904975 0.02602693 0.         0.         0.02847877 0.01054263
 0.02914318 0.         0.02880285 0.         0.02732145 0.
 0.         0.         0.02780136]","[0.01393427 0.01244336 0.01374165 0.         0.00910347 0.00723167
 0.01392334 0.0143089  0.01334687 0.         0.0109704  0.
 0.01413221 0.         0.01247886]","[0.03308816 0.03630989 0.         0.         0.01962164 0.
 0.01800163 0.         0.03752315 0.         0.03321111 0.
 0.         0.         0.03903225]","[0.01756143 0.01634384 0.         0.         0.00494342 0.00958835
 0.01729468 0.01757442 0.01718131 0.         0.01367281 0.
 0.0172319  0.         0.01746069]","[0.05449934 0.04305172 0.         0.         0.         0.
 0.05423425 0.05638258 0.         0.         0.04075991 0.
 0.         0.         0.05337664]"
"[2.91330478e-04 5.22469249e-08 4.11565527e-03 4.50498493e-06
 2.64240111e-04 7.27126591e-03 5.82996931e-03 6.77412311e-03
 5.17211238e-03 5.04322519e-03 4.55149025e-04 1.89888553e-03
 1.02639886e-07 3.96485073e-04 3.88636581e-03]","[0.01426146 0.00392022 0.01301136 0.01423741 0.00013414 0.01425431
 0.01432026 0.0140945  0.         0.01327711 0.         0.01347173
 0.         0.01423174 0.        ]","[4.98378320e-04 9.04778412e-08 7.07834705e-03 7.69043330e-04
 5.04210658e-04 7.26392039e-03 6.60755663e-03 7.28760943e-03
 5.99515733e-03 6.30206185e-04 7.65984099e-04 2.76451623e-03
 2.16014671e-06 6.72386184e-03 5.06277955e-03]","[0.02225006 0.00030725 0.02312607 0.00218038 0.02875506 0.
 0.         0.         0.         0.00397635 0.         0.02462959
 0.         0.02576855 0.        ]","[4.24545959e-03 1.10264966e-03 5.60828565e-04 9.31218981e-05
 7.21172240e-05 1.18603381e-02 1.02308132e-02 1.18309866e-02
 1.17435359e-02 2.56056681e-03 0.00000000e+00 1.62417439e-03
 0.00000000e+00 1.03109615e-02 0.00000000e+00]","[0.         0.01262989 0.0374528  0.00062351 0.03754021 0.
 0.03706484 0.         0.         0.02782682 0.         0.0376185
 0.         0.         0.        ]","[1.67909356e-03 2.75024558e-08 6.75456584e-03 6.06494266e-07
 3.34932099e-04 8.30838444e-03 6.57671241e-03 8.51072902e-03
 3.82254377e-03 1.93724883e-03 5.54739983e-03 8.15270612e-04
 0.00000000e+00 8.48639616e-05 4.40927390e-03]","[0.02033219 0.00063211 0.0182883  0.01024383 0.02196527 0.
 0.         0.         0.         0.02137257 0.         0.01690446
 0.         0.02192738 0.02203171]","[8.21639073e-03 7.46444900e-06 1.49690694e-03 1.78425870e-03
 1.08912936e-04 1.18542665e-02 1.16472718e-02 1.11948609e-02
 1.17914357e-02 1.36649272e-03 0.00000000e+00 4.63202820e-03
 0.00000000e+00 4.62547721e-04 0.00000000e+00]","[0.01841441 0.00340904 0.01235425 0.00022402 0.021117   0.
 0.02167761 0.         0.         0.00951012 0.         0.02087874
 0.         0.00400454 0.        ]","[7.94584914e-03 1.86183665e-05 8.42099318e-04 1.75660549e-04
 1.05132907e-04 1.12136293e-02 1.13905442e-02 1.04276587e-02
 9.49725875e-03 5.70495627e-04 0.00000000e+00 4.33946724e-03
 0.00000000e+00 1.09116154e-03 0.00000000e+00]","[0.02617248 0.0005903  0.01825433 0.00815182 0.02054494 0.02893949
 0.         0.         0.         0.0271486  0.         0.00877191
 0.         0.         0.        ]"
"[1.49845775e-03 3.88110948e-03 7.30470841e-03 3.95299909e-03
 2.38858518e-04 7.09700597e-03 3.88632739e-03 5.37103485e-03
 7.13028172e-03 2.12025821e-05 2.51682998e-05 1.36643163e-03
 1.92572696e-06 4.36002273e-05 7.23976373e-03]","[0.02765011 0.         0.02603624 0.02834353 0.         0.02689224
 0.02459681 0.01824839 0.0198591  0.01415818 0.         0.
 0.         0.         0.        ]","[7.16055759e-04 6.27917048e-03 7.26477287e-03 9.74439698e-04
 1.63036917e-05 4.65078110e-03 2.06415766e-03 2.85106754e-04
 5.28669510e-03 3.95029975e-05 1.06284477e-05 4.01186856e-03
 9.24628477e-07 5.74938050e-06 6.05114797e-03]","[0.00931353 0.         0.0176937  0.         0.00472333 0.01251017
 0.01682013 0.00724499 0.01407127 0.0127136  0.         0.01457468
 0.         0.         0.01604102]","[3.21102072e-04 4.89270778e-03 7.31421964e-03 8.08645680e-04
 1.69677592e-05 4.52367314e-03 1.46396150e-03 5.89029694e-04
 2.75882882e-03 1.23453267e-05 4.50182860e-06 2.12503835e-03
 2.58876712e-06 4.65084715e-06 6.09320603e-03]","[0.01851816 0.         0.02210917 0.00879057 0.01137927 0.
 0.01635774 0.01677795 0.00497438 0.         0.         0.
 0.         0.01548266 0.02230521]","[1.30173281e-05 7.45096605e-03 9.90163909e-03 9.73000334e-03
 1.67155663e-03 5.96216729e-03 5.74189767e-03 1.22708261e-03
 9.17341016e-03 2.52326953e-04 0.00000000e+00 4.66130491e-03
 3.51987100e-06 7.96394627e-06 0.00000000e+00]","[0.05075155 0.04111439 0.05626093 0.         0.         0.
 0.01939285 0.04998173 0.         0.         0.         0.01262029
 0.         0.         0.        ]","[0.00388407 0.         0.01435381 0.01267293 0.00833522 0.009196
 0.01352419 0.00633987 0.01319897 0.01100588 0.         0.01382088
 0.         0.00510817 0.        ]","[0.00818521 0.         0.02888251 0.0260016  0.         0.
 0.02402003 0.00393941 0.         0.00262943 0.         0.01704677
 0.00157292 0.         0.        ]","[0.01739177 0.         0.02233129 0.0112286  0.         0.00940207
 0.0158952  0.00956099 0.         0.01666207 0.         0.01986978
 0.         0.01585819 0.        ]","[0.12002379 0.         0.         0.11908038 0.         0.08470178
 0.03361455 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"[8.27791783e-03 2.95868505e-06 8.41092479e-03 8.07221124e-03
 2.88280822e-03 0.00000000e+00 2.06182266e-03 5.81269345e-03
 1.16106541e-03 8.50739208e-03 2.09639356e-03 4.55700265e-03
 8.10656901e-03 7.46274480e-03 4.24229513e-05]","[4.40674028e-03 1.39503490e-05 1.09075464e-02 1.07540943e-02
 1.67574115e-03 0.00000000e+00 1.14668048e-02 3.56959715e-03
 0.00000000e+00 1.18703361e-02 5.11764445e-03 9.42504062e-05
 7.78727095e-03 7.93886898e-03 0.00000000e+00]","[8.35002224e-03 1.03247955e-04 8.34618005e-03 8.09555432e-03
 3.19879288e-04 0.00000000e+00 5.19351987e-03 5.11603684e-03
 2.87909368e-04 8.42869211e-03 1.73195746e-03 5.33727579e-03
 8.49947755e-03 6.90425110e-03 4.49212516e-05]","[0.00726116 0.00103889 0.         0.0142606  0.00277522 0.
 0.01386616 0.00743568 0.         0.01429495 0.00488107 0.00803856
 0.0141218  0.01428295 0.        ]","[7.07949384e-03 6.26698110e-06 7.33781008e-03 8.08987702e-03
 5.90288534e-03 0.00000000e+00 1.04927300e-03 1.31495471e-03
 4.56937627e-03 8.50449685e-03 2.08586516e-03 1.17877025e-03
 8.31548594e-03 2.95557314e-03 4.42876019e-05]","[0.02614658 0.00100562 0.         0.         0.01653516 0.
 0.01632684 0.01240548 0.00988841 0.02623859 0.         0.
 0.         0.02809578 0.        ]","[8.43785444e-03 4.12436279e-07 7.43289226e-03 7.53555128e-03
 1.89156265e-04 0.00000000e+00 1.62884268e-03 3.43005700e-03
 1.52077182e-03 8.35863256e-03 2.40200523e-03 6.71033815e-03
 6.26570877e-03 3.14607949e-03 1.78773094e-05]","[0.01387782 0.00276501 0.01395233 0.01421098 0.00516614 0.
 0.01014826 0.00503415 0.         0.01434205 0.         0.00594309
 0.01431686 0.01385751 0.        ]","[9.47950428e-03 3.02357298e-06 9.94636597e-03 8.87208951e-03
 2.25035752e-04 0.00000000e+00 3.30667729e-03 1.54396343e-03
 0.00000000e+00 9.97606195e-03 6.63410088e-03 8.28453648e-03
 7.03948588e-03 8.17752415e-03 2.53746017e-04]","[0.02507057 0.01177779 0.         0.         0.01240567 0.
 0.01034101 0.00292969 0.         0.02889876 0.00746459 0.
 0.         0.00729775 0.        ]","[1.18737397e-02 5.96972169e-05 1.18420325e-02 1.16410571e-02
 7.44564881e-03 0.00000000e+00 1.75601331e-05 4.12298366e-03
 0.00000000e+00 1.16570364e-02 0.00000000e+00 1.06373045e-02
 1.00670365e-02 1.18723568e-02 8.94268960e-04]","[0.         0.00345028 0.         0.0223237  0.01176423 0.
 0.00497616 0.01227324 0.         0.05625843 0.         0.
 0.         0.         0.        ]"
"[1.11962774e-03 7.97647907e-03 8.49249852e-03 1.88877410e-04
 0.00000000e+00 2.50238117e-05 8.82477759e-05 3.95984645e-03
 6.11356599e-03 5.83479977e-03 5.44135343e-03 1.00469111e-04
 1.54695818e-05 2.07091075e-04 4.27306595e-03]","[5.02361012e-03 1.15561504e-02 1.15095283e-02 0.00000000e+00
 0.00000000e+00 5.63800061e-03 0.00000000e+00 1.18729752e-02
 1.01472134e-02 1.12493973e-02 8.75010279e-03 2.92675550e-03
 1.72590843e-05 2.04400982e-03 1.66971486e-03]","[1.95302580e-03 7.32521069e-03 9.97655247e-03 2.18614136e-03
 0.00000000e+00 2.54697842e-04 2.25199238e-04 6.17318977e-03
 6.79457366e-03 0.00000000e+00 1.21292607e-03 1.43545646e-03
 3.47203706e-04 8.90572605e-05 1.73051024e-03]","[0.00905526 0.0223362  0.01835745 0.         0.         0.
 0.0207642  0.         0.02172327 0.         0.01587755 0.00492352
 0.00126814 0.01842289 0.        ]","[0.00391775 0.00792662 0.00998269 0.00920239 0.         0.00017829
 0.00073413 0.0052871  0.00826792 0.         0.00522319 0.00010359
 0.00087186 0.0001241  0.00530261]","[0.00197061 0.02271945 0.02914351 0.         0.         0.
 0.         0.02913406 0.         0.         0.00818178 0.00726891
 0.00145086 0.0031712  0.        ]","[0.00398834 0.00795333 0.00991593 0.00277877 0.         0.00328065
 0.00027667 0.00529498 0.00894216 0.         0.00409288 0.00046146
 0.00089568 0.00012613 0.00022487]","[0.01091882 0.02214137 0.02222236 0.         0.         0.00620237
 0.00369498 0.         0.         0.         0.00401966 0.00152693
 0.01134915 0.00150172 0.        ]","[0.002644   0.01115729 0.0118543  0.         0.         0.00319932
 0.00123183 0.01174185 0.00895264 0.         0.00645636 0.00064865
 0.00365354 0.00665717 0.00845473]","[0.00374008 0.02178189 0.01619655 0.         0.         0.
 0.         0.02208758 0.         0.         0.02157996 0.00315089
 0.00107544 0.00920518 0.01691178]","[0.00013191 0.01375588 0.01420291 0.         0.         0.00586969
 0.00082598 0.01433468 0.         0.         0.01342657 0.01139597
 0.00137907 0.00381179 0.00977893]","[0.01757095 0.02132821 0.03539102 0.         0.         0.
 0.         0.03873021 0.         0.         0.02917288 0.
 0.01716853 0.01794654 0.        ]"
"[8.87138348e-05 3.97963959e-04 6.66362941e-03 2.44033612e-05
 4.07061258e-03 2.45255329e-03 7.16204114e-04 1.41432126e-04
 4.95335118e-05 6.08266680e-03 1.04085055e-04 2.33102682e-05
 6.15887322e-04 8.22466254e-04 3.06640864e-06]","[0.00177479 0.00114827 0.00915971 0.00397451 0.         0.00609647
 0.0037005  0.00996865 0.00973189 0.         0.00667132 0.00853189
 0.00030366 0.00737968 0.00022007]","[4.98030899e-06 2.88717705e-03 6.67694061e-03 3.23586514e-05
 2.95683203e-03 1.14758118e-03 4.48486732e-03 8.80330719e-04
 7.13356541e-04 1.97139174e-03 5.85487586e-06 2.55258037e-04
 6.28299945e-04 1.05316630e-03 1.66200328e-06]","[0.01677245 0.         0.01696215 0.00505018 0.         0.
 0.         0.01386734 0.01315566 0.         0.01755287 0.00043845
 0.01608039 0.00760131 0.00051696]","[8.53304630e-05 5.35415046e-03 6.54217843e-03 3.46136560e-04
 2.63624835e-03 4.91115042e-03 2.18136893e-03 6.61184895e-03
 1.56105092e-04 0.00000000e+00 4.62122326e-04 3.53945180e-04
 2.08881016e-03 6.68238753e-04 7.72387888e-05]","[0.05008911 0.01239753 0.         0.         0.         0.03493682
 0.         0.         0.02538445 0.         0.         0.
 0.01954589 0.         0.02440085]","[1.66333377e-04 1.12770841e-03 4.64738279e-03 1.56376728e-04
 2.95665628e-03 5.46063012e-03 1.85558837e-03 7.30578953e-03
 6.18975466e-04 0.00000000e+00 1.07769874e-03 6.69672928e-04
 2.42214233e-04 2.54683265e-04 3.42774004e-05]","[0.02432702 0.         0.         0.00115986 0.         0.
 0.01371088 0.         0.01617791 0.         0.0211035  0.00352231
 0.02166513 0.         0.01013746]","[0.00064634 0.00542218 0.00990112 0.00031947 0.00837196 0.00666479
 0.00901027 0.         0.000978   0.         0.00677131 0.00174534
 0.00436625 0.00233856 0.00018385]","[0.02847218 0.         0.02273069 0.         0.         0.01476754
 0.         0.         0.01418015 0.         0.02266684 0.
 0.00891874 0.01430195 0.02338107]","[0.00274066 0.0124177  0.0130967  0.00610985 0.         0.01295244
 0.00898272 0.         0.00091239 0.         0.00963286 0.01395395
 0.00758752 0.         0.00016825]","[0.02823396 0.02562305 0.0287562  0.         0.02903792 0.
 0.         0.         0.01438345 0.         0.         0.01880836
 0.01970762 0.         0.02340986]"
"[6.62317741e-03 5.81545224e-03 3.26423007e-03 3.57994375e-04
 2.29176325e-04 1.63829809e-03 2.23853443e-03 3.73291146e-04
 3.84961268e-03 5.96571205e-03 2.92529371e-06 6.82477313e-03
 5.11422478e-03 3.80077835e-03 4.47955616e-04]","[0.0027832  0.00173703 0.00058016 0.00824785 0.00308477 0.
 0.00764514 0.00052118 0.00460589 0.00019367 0.00273779 0.00141177
 0.00667004 0.00766341 0.00844912]","[6.80758489e-03 1.45694004e-03 4.61134375e-03 1.40361204e-03
 4.56961648e-04 5.23534852e-03 2.63971144e-03 3.14189867e-03
 6.57483960e-03 5.50987175e-03 4.04372279e-06 3.38939284e-03
 6.08544454e-03 6.10786019e-03 8.66675733e-04]","[0.00725707 0.00389741 0.00253274 0.00733607 0.00540245 0.
 0.00621638 0.00295222 0.00467644 0.00398371 0.00079965 0.00446356
 0.00586647 0.00195255 0.00820776]","[6.35299397e-03 3.40315232e-03 6.07500961e-03 1.80383241e-03
 2.63537129e-04 2.92629712e-03 2.01659889e-03 1.14881617e-03
 6.10626280e-03 5.29829066e-03 2.03960817e-06 5.50312122e-03
 6.84424999e-03 6.40310769e-03 5.12749312e-04]","[0.00969942 0.00046795 0.01043687 0.00370364 0.00446191 0.
 0.00817107 0.00798346 0.00038221 0.00028508 0.00452883 0.
 0.00384857 0.00023108 0.        ]","[6.44485936e-03 5.94058367e-03 5.58751588e-03 3.44188773e-04
 1.72091666e-04 2.15732354e-03 1.73766459e-03 7.46043698e-04
 6.85803268e-03 5.91960084e-03 2.28087617e-06 6.87383046e-03
 6.61743943e-03 3.72503523e-03 3.38968004e-04]","[0.0131273  0.01356846 0.         0.01238644 0.00428771 0.
 0.01041804 0.01430319 0.00588333 0.00051278 0.         0.00436737
 0.         0.0051287  0.0125697 ]","[5.12407914e-03 2.44354557e-03 3.42903022e-03 2.91205152e-04
 7.84170373e-04 8.57497938e-04 4.23516215e-03 1.30470162e-03
 6.39848952e-03 5.39049987e-03 7.33684036e-07 4.65050714e-03
 5.25213128e-03 3.40483377e-03 1.42646202e-03]","[0.01396144 0.00928453 0.         0.01667649 0.         0.
 0.01268158 0.01688661 0.01528168 0.00960636 0.00324143 0.01137913
 0.         0.01708571 0.        ]","[0.00225575 0.00787248 0.         0.00206463 0.00483561 0.004648
 0.00147285 0.00121422 0.0080925  0.00712482 0.00016691 0.00109455
 0.00825627 0.00747883 0.00554583]","[0.02253294 0.02527311 0.         0.00788272 0.         0.
 0.0071168  0.         0.02025724 0.         0.00121035 0.
 0.01406761 0.01970257 0.        ]"
"[5.16473516e-03 3.15853369e-06 6.70969016e-04 2.42268948e-03
 2.89832897e-07 7.07662240e-04 6.82560184e-03 1.76516195e-03
 1.79915089e-04 1.30600407e-03 5.92259084e-03 7.20065962e-04
 4.84114106e-04 3.85470831e-03 4.84052290e-03]","[0.         0.00282287 0.0055252  0.01113191 0.01164842 0.01149897
 0.00762567 0.         0.         0.01146988 0.00963597 0.0116967
 0.01113785 0.01165812 0.01146831]","[0.00000000e+00 1.44246405e-04 8.78256889e-04 5.54423142e-03
 2.96868229e-07 5.74668636e-03 5.89652041e-04 1.01712477e-03
 1.64712753e-03 1.92357917e-03 8.25935451e-03 2.92894493e-03
 2.22147227e-05 7.48773563e-03 8.06618272e-03]","[0.         0.00062435 0.01231371 0.01114833 0.0125678  0.
 0.00947681 0.         0.0030636  0.00743096 0.01413113 0.01091155
 0.         0.01388617 0.01428919]","[0.00000000e+00 7.97194613e-04 3.80172163e-03 3.30695604e-03
 2.23528145e-07 2.06430338e-03 4.91814589e-04 4.08560143e-03
 8.22529036e-04 1.92186732e-03 8.01029412e-03 6.45807129e-03
 1.53449213e-04 6.07072406e-03 7.93001693e-03]","[0.         0.01114629 0.01686675 0.         0.01751387 0.
 0.00447004 0.         0.         0.01303462 0.01650605 0.01708577
 0.0106846  0.01197909 0.0175285 ]","[0.00000000e+00 1.75879774e-05 6.20551377e-04 5.07123810e-03
 1.14731197e-07 2.62864361e-03 9.02064848e-04 6.44383789e-03
 3.90529563e-04 2.16699988e-03 8.24630145e-03 5.04577703e-04
 1.51952590e-05 7.25429047e-03 7.44759930e-03]","[0.         0.00567628 0.01622568 0.01504532 0.00926135 0.01760466
 0.01748039 0.         0.         0.01752601 0.         0.
 0.01520294 0.01739604 0.01730257]","[0.00000000e+00 1.40276292e-04 2.67531738e-04 3.18679990e-03
 1.77060984e-07 5.12814915e-03 3.03576296e-03 3.03798457e-03
 2.10140420e-04 3.06366148e-03 8.49995732e-03 2.87461968e-03
 6.27778961e-06 5.96524117e-03 7.79039351e-03]","[0.         0.02774301 0.01511305 0.         0.00528089 0.
 0.02170453 0.         0.         0.         0.0064052  0.01923033
 0.00886908 0.         0.        ]","[0.00000000e+00 2.17412834e-05 9.54593241e-03 1.41181919e-02
 9.75712878e-04 0.00000000e+00 2.35229062e-03 0.00000000e+00
 0.00000000e+00 6.95659353e-03 1.32800073e-02 6.68388536e-03
 1.26693171e-02 1.42088308e-02 1.32000746e-02]","[0.         0.00834566 0.02635375 0.02397866 0.00268024 0.
 0.         0.03169637 0.         0.         0.         0.00754743
 0.         0.03766421 0.        ]"
