TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10.0,TpsRandomic + IndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15.0,TpsRandomic + IndividualEstimated_INR + -15.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10.0,TpsRandomic + CumulativeIndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15.0,TpsRandomic + CumulativeIndividualEstimated_INR + -15.0
"[7.94463254e-03 0.00000000e+00 2.39277002e-05 3.14075223e-03
 4.68698781e-03 5.21515093e-04 1.64894590e-03 8.48849129e-03
 7.03787543e-03 1.41500581e-03 7.08557215e-03 4.06898024e-04
 2.12695291e-03 3.74514555e-03 3.43218301e-03]","[0.         0.         0.00380305 0.00635003 0.01409196 0.
 0.00471776 0.         0.01429294 0.01192848 0.01406802 0.00083505
 0.00406413 0.01250769 0.00449399]","[8.12017708e-03 0.00000000e+00 2.21419197e-06 1.29659112e-03
 3.71372635e-03 4.24418488e-03 6.86063232e-04 8.50932847e-03
 6.30427174e-03 1.27035678e-03 4.47982619e-03 5.88923103e-04
 2.53909726e-04 1.65546626e-03 2.54601123e-03]","[0.02236409 0.         0.00290853 0.         0.01974    0.
 0.         0.         0.01328815 0.01222542 0.02136352 0.01964652
 0.0118167  0.00696252 0.        ]","[8.30969171e-03 0.00000000e+00 4.13469288e-06 3.21065829e-04
 6.64326086e-03 1.44324397e-03 1.04558076e-03 8.50471864e-03
 7.55581305e-03 7.72861999e-03 2.50099007e-03 1.09410673e-03
 4.62267629e-04 4.25874245e-04 5.63661217e-03]","[0.         0.         0.0043553  0.         0.01581135 0.00162069
 0.00505204 0.         0.01768324 0.01313492 0.01763433 0.01766415
 0.01676048 0.01681638 0.        ]","[8.42647324e-03 0.00000000e+00 7.23286809e-06 6.03432582e-04
 1.46195697e-03 7.59746028e-03 2.10269918e-03 8.50507809e-03
 6.36139711e-03 3.10718974e-03 6.90859262e-03 2.23004148e-03
 7.77294370e-04 7.91508252e-04 8.73386358e-04]","[0.         0.         0.0167566  0.         0.01440447 0.0036966
 0.         0.         0.0166576  0.00430533 0.01758747 0.01694661
 0.01712464 0.01183048 0.01467095]","[0.00000000e+00 0.00000000e+00 5.03000563e-06 1.62945350e-03
 7.81585538e-03 9.04005078e-03 2.65932117e-03 9.97176000e-03
 7.58191006e-03 8.68644989e-03 4.83744443e-03 6.70228543e-03
 7.68905376e-04 1.05945244e-03 6.63929863e-03]","[0.         0.         0.01895817 0.         0.01656102 0.01405444
 0.         0.         0.02097325 0.         0.02235493 0.00689572
 0.01871877 0.01185091 0.01920335]","[0.00000000e+00 0.00000000e+00 7.28622700e-06 3.58214502e-03
 1.06635511e-02 3.87939073e-03 7.16654072e-03 0.00000000e+00
 8.27609269e-03 4.72381218e-03 1.15708902e-02 6.98484510e-03
 1.16844508e-02 1.31371804e-03 6.83723270e-03]","[0.         0.         0.00042775 0.         0.01875594 0.
 0.         0.         0.02780575 0.02675105 0.02840687 0.02873193
 0.00968464 0.02702066 0.        ]"
"[7.28690293e-03 1.26995778e-06 5.82253975e-05 4.63702989e-05
 1.05820542e-05 2.53935568e-03 6.93342151e-03 4.55663512e-03
 9.25334308e-04 7.31878952e-03 1.34521319e-04 6.95783223e-03
 3.13874986e-03 1.82331717e-05 4.65752511e-05]","[0.01354555 0.00314599 0.0124976  0.01430576 0.0124348  0.
 0.01254678 0.01401787 0.01427721 0.         0.00955584 0.01422573
 0.         0.0093297  0.        ]","[7.19474403e-03 1.15496120e-06 2.15104683e-04 1.56012835e-04
 1.53610047e-05 4.78430682e-03 7.29747151e-03 3.07839165e-03
 9.19013088e-04 7.31848386e-03 5.02622558e-05 6.92177069e-03
 5.41973583e-03 6.19120764e-05 6.74627370e-05]","[0.0008198  0.00305197 0.0006977  0.00107528 0.01183483 0.00842813
 0.00934398 0.0114434  0.01184132 0.         0.00208313 0.00986597
 0.         0.00989046 0.        ]","[9.92808037e-03 1.95450618e-04 9.90930075e-03 4.36992338e-06
 2.21316668e-04 7.47302866e-03 9.71873819e-03 0.00000000e+00
 9.69203071e-03 9.94391055e-03 3.23163297e-03 9.45863470e-03
 0.00000000e+00 1.46894415e-04 6.54803644e-03]","[0.01760877 0.         0.01323606 0.         0.01704098 0.01127406
 0.01551864 0.         0.017684   0.         0.01769804 0.01662588
 0.         0.01376025 0.01560222]","[8.38132214e-03 4.00335227e-05 6.21324070e-03 5.91432620e-05
 2.41881843e-05 4.53807833e-03 8.47300493e-03 8.07710540e-03
 5.80903337e-03 8.49559060e-03 8.82072008e-05 8.49020025e-03
 0.00000000e+00 2.00969015e-04 2.38405426e-05]","[0.         0.02273356 0.02059577 0.0040185  0.00371677 0.
 0.00953038 0.         0.         0.         0.01840005 0.
 0.         0.01628102 0.00552002]","[1.17519925e-02 2.00373254e-04 3.92081242e-03 2.99017755e-04
 1.00497856e-02 7.70209119e-03 1.18548190e-02 0.00000000e+00
 1.17091660e-02 0.00000000e+00 7.96597447e-03 1.17085708e-02
 0.00000000e+00 1.98261178e-06 4.48795513e-04]","[0.         0.         0.00453748 0.01200117 0.         0.
 0.02864284 0.         0.         0.0282713  0.00482483 0.02909658
 0.         0.00741791 0.00818377]","[0.01433401 0.00336685 0.0018509  0.00073741 0.00323883 0.01425453
 0.01415627 0.         0.         0.         0.01123934 0.013464
 0.         0.00364039 0.00013285]","[0.05599232 0.         0.02902065 0.         0.00373915 0.
 0.01158841 0.         0.         0.         0.039033   0.05592102
 0.         0.         0.        ]"
"[0.00485303 0.00159384 0.0020619  0.00381447 0.00095042 0.00526786
 0.00314342 0.00550134 0.         0.0022546  0.00698902 0.00793734
 0.0011236  0.00134436 0.00286094]","[0.01544026 0.         0.         0.         0.00146158 0.
 0.01088981 0.00604284 0.         0.02146035 0.02179573 0.02236724
 0.00843586 0.01646939 0.        ]","[0.00320045 0.00134794 0.00061003 0.00249173 0.00044633 0.00510146
 0.00162321 0.00614242 0.         0.00428204 0.00771182 0.00734235
 0.00094039 0.00036885 0.00174595]","[0.         0.         0.0215067  0.         0.00958485 0.
 0.01364596 0.00459724 0.         0.01547667 0.02222069 0.02229533
 0.01432855 0.02131028 0.        ]","[0.0095166  0.00130765 0.         0.00959202 0.00396557 0.00381938
 0.00875659 0.00360382 0.         0.0094706  0.00953666 0.00989285
 0.00107873 0.00038515 0.00930777]","[0.         0.         0.         0.         0.01505452 0.
 0.         0.03476048 0.         0.02429285 0.         0.03948181
 0.02365274 0.02095691 0.03858944]","[0.00843652 0.00292228 0.         0.00601024 0.00113701 0.00877049
 0.00297476 0.00269234 0.         0.00530491 0.00985369 0.00974128
 0.00031369 0.00099078 0.00458959]","[0.         0.01533513 0.         0.01683515 0.0116002  0.
 0.         0.01883877 0.         0.02192635 0.         0.02228191
 0.02048959 0.01069662 0.01717288]","[0.         0.01091646 0.         0.00590993 0.00742826 0.01100872
 0.00212224 0.01115407 0.         0.01137813 0.0106088  0.01184116
 0.01069872 0.00878442 0.004041  ]","[0.         0.         0.         0.0204183  0.01148644 0.
 0.         0.02188756 0.         0.02235303 0.02230805 0.0223342
 0.01342123 0.01535808 0.02062688]","[0.         0.01345435 0.         0.01536065 0.01115637 0.
 0.0048584  0.00773764 0.         0.01766896 0.         0.01752519
 0.01172441 0.01469054 0.01513127]","[0.         0.         0.         0.         0.         0.
 0.01738255 0.0075369  0.         0.03730053 0.         0.03941248
 0.01676343 0.0316342  0.01479667]"
"[2.98423054e-03 1.51092944e-03 7.04653639e-03 3.33269617e-03
 4.93667317e-06 3.23393076e-05 8.53675399e-04 6.24961193e-04
 6.59498182e-03 3.62915543e-03 6.42969320e-04 7.33840497e-03
 4.34489805e-04 2.12923506e-04 3.33857161e-06]","[5.65149354e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.91745272e-03 2.55136114e-03 1.17790617e-02 1.16327380e-02
 1.18718853e-02 9.51068546e-03 8.25704829e-03 1.10294590e-02
 4.84741974e-03 8.20736606e-03 1.29546330e-05]","[7.10129956e-03 8.17699308e-04 8.25925356e-03 0.00000000e+00
 6.33341803e-04 1.01999411e-04 7.03951466e-06 3.88317413e-03
 6.82405869e-03 4.80799197e-03 3.81184538e-03 8.45182278e-03
 6.54547545e-03 2.00175089e-04 2.60181466e-06]","[0.00153366 0.00764883 0.01168958 0.         0.00482643 0.00129907
 0.00183353 0.00197101 0.01172278 0.00782002 0.         0.01157234
 0.0066718  0.         0.00970497]","[9.63752235e-03 1.17431977e-03 9.88680540e-03 0.00000000e+00
 1.02813345e-03 1.01860806e-04 3.00759495e-04 4.86608202e-03
 8.70213851e-03 7.84212289e-03 5.02192137e-03 9.97070656e-03
 0.00000000e+00 3.70829033e-03 5.94284296e-08]","[0.02660026 0.         0.         0.         0.02647524 0.01912576
 0.02472466 0.01887466 0.02910664 0.02076374 0.         0.
 0.         0.         0.0003489 ]","[2.39692147e-03 4.97895541e-03 8.25856533e-03 0.00000000e+00
 1.26729712e-04 3.44679352e-05 3.14898326e-05 2.98263482e-04
 7.83525784e-03 2.71943590e-03 4.06758249e-03 7.80367336e-03
 8.32299076e-03 1.99627819e-04 4.89151123e-07]","[0.01519553 0.         0.         0.         0.01301753 0.01715703
 0.00257075 0.01147198 0.01770128 0.01313812 0.         0.01750342
 0.         0.01487419 0.00117075]","[8.89423161e-03 1.81883938e-03 9.95404351e-03 0.00000000e+00
 8.36580995e-04 5.79356307e-05 1.61821584e-03 1.83428969e-03
 9.39997578e-03 7.20675452e-03 8.71956775e-03 9.93863556e-03
 0.00000000e+00 4.96048273e-03 1.93673972e-07]","[0.02184513 0.         0.02157725 0.         0.02178266 0.01396214
 0.0223564  0.01729041 0.02236546 0.01627829 0.         0.
 0.         0.0176042  0.        ]","[1.01713212e-02 4.80590519e-03 1.41946396e-02 0.00000000e+00
 1.33003866e-02 1.15236995e-03 1.08404844e-03 3.12316191e-03
 1.41712043e-02 1.17631501e-02 0.00000000e+00 1.39111635e-02
 0.00000000e+00 0.00000000e+00 5.78830531e-05]","[0.02614564 0.         0.02813516 0.         0.         0.00540013
 0.02383419 0.01840921 0.0291342  0.00833002 0.         0.02883023
 0.         0.         0.        ]"
"[4.31111644e-03 7.29655420e-03 1.40062636e-07 6.45668646e-03
 4.29293131e-04 3.62559568e-03 2.84476557e-03 4.14952603e-03
 2.15184022e-03 4.08430011e-03 5.84063027e-06 1.02860435e-05
 7.21866617e-03 4.62082721e-03 7.22593564e-03]","[0.00969468 0.00981777 0.00069044 0.00982509 0.         0.00992335
 0.00996116 0.00849532 0.00626351 0.00019037 0.00438615 0.00485288
 0.00955479 0.00931901 0.        ]","[0.00760271 0.00700124 0.00010963 0.00020565 0.         0.00439619
 0.00475619 0.00373618 0.00330371 0.00465293 0.00184446 0.00010902
 0.00840413 0.00557313 0.00811899]","[0.00085187 0.00949766 0.         0.00927004 0.         0.00494408
 0.00872202 0.00452176 0.00488673 0.00035088 0.00056728 0.00031629
 0.00778622 0.00028715 0.00991442]","[0.0014041  0.00950269 0.         0.0005931  0.         0.00475497
 0.00213488 0.00812797 0.00508085 0.00794732 0.00079459 0.00077848
 0.0097304  0.00397144 0.0098674 ]","[0.00850916 0.0005631  0.         0.00790702 0.         0.00544872
 0.01042366 0.01136571 0.         0.01177765 0.00191743 0.00892266
 0.00654084 0.01122249 0.0118262 ]","[7.69764409e-03 6.27188254e-03 6.14104125e-05 4.78277715e-04
 0.00000000e+00 6.42151028e-03 1.42052255e-03 6.75215379e-03
 3.74780866e-03 5.24754431e-03 7.05028192e-04 1.23056877e-04
 8.33522278e-03 4.37255275e-03 8.34375037e-03]","[0.01250737 0.01048527 0.         0.01282955 0.         0.01392912
 0.00973829 0.01330232 0.         0.01311259 0.00165135 0.00801452
 0.00844026 0.01415699 0.        ]","[0.00234375 0.00942291 0.         0.00059588 0.         0.00916699
 0.00317635 0.00493822 0.00444117 0.00739301 0.00058617 0.00498667
 0.00984713 0.00359165 0.00986797]","[0.02119402 0.02472438 0.         0.         0.         0.02709162
 0.02476139 0.         0.         0.0143499  0.00693147 0.0217343
 0.0225008  0.         0.        ]","[0.00657617 0.00980275 0.         0.00044289 0.         0.00489598
 0.00512608 0.00914691 0.00436445 0.00755605 0.00111404 0.0017932
 0.00996206 0.00642961 0.00982599]","[0.02187974 0.         0.         0.         0.         0.
 0.         0.         0.02656567 0.01726333 0.         0.00278965
 0.         0.07358945 0.        ]"
"[7.90020872e-05 7.32843690e-03 7.04275700e-04 1.21411299e-03
 2.82759327e-03 5.43994754e-04 7.11045904e-03 4.12603527e-04
 5.81416992e-03 6.29471828e-04 1.80421249e-04 4.57540437e-07
 2.48845065e-05 1.53915700e-04 6.73448790e-05]","[1.18226993e-02 1.18612432e-02 1.17868734e-02 8.45853599e-03
 1.12836206e-02 8.98741581e-03 0.00000000e+00 1.04526103e-02
 1.17118971e-02 0.00000000e+00 5.83478725e-03 0.00000000e+00
 5.69409890e-03 3.61069498e-03 5.75690813e-06]","[1.73918595e-05 7.30050061e-03 1.57367868e-03 4.12190530e-05
 2.44602197e-03 1.79352162e-04 6.93114676e-03 1.41472807e-05
 6.29631714e-03 6.55786582e-04 4.01564309e-05 1.48794076e-07
 6.36463449e-05 4.47725695e-06 5.38171826e-05]","[0.         0.         0.         0.01760189 0.01628353 0.00293593
 0.         0.00309387 0.0160125  0.01557833 0.01727861 0.
 0.01724443 0.0117232  0.01577892]","[4.31543772e-05 7.33655699e-03 5.13713369e-04 8.79515155e-04
 5.07693221e-03 2.89708918e-04 7.32750917e-03 5.49406919e-05
 4.50161259e-03 3.76763578e-04 9.91813556e-05 1.14437202e-06
 1.76620638e-05 1.06424601e-04 2.35429494e-04]","[0.00164279 0.         0.         0.01185585 0.0113442  0.00508692
 0.01157478 0.00032775 0.         0.00294047 0.00477294 0.00149812
 0.01000842 0.00084958 0.01148382]","[3.67124283e-05 7.33605007e-03 6.21275536e-04 3.20211424e-05
 5.09305901e-03 1.56375079e-04 7.19742928e-03 7.94927789e-05
 6.13485090e-03 3.28916132e-04 8.44745415e-05 1.04648161e-06
 2.16902193e-05 3.47413704e-06 2.37790566e-04]","[0.00568299 0.         0.00880767 0.0143222  0.01224978 0.01332596
 0.01431162 0.01251771 0.         0.         0.00821678 0.
 0.01380045 0.00860516 0.00665659]","[4.18250825e-05 7.33144206e-03 1.34576200e-03 1.49711080e-04
 3.78489592e-03 6.68473073e-04 7.12699031e-03 1.15121113e-04
 5.12279666e-03 1.89500132e-04 9.61528960e-05 5.88334242e-07
 5.24397657e-05 1.64791818e-05 1.13677329e-04]","[0.01049234 0.         0.         0.         0.02130312 0.00135479
 0.0223488  0.         0.         0.00089231 0.00440904 0.
 0.01158386 0.01452827 0.00654957]","[6.39049119e-04 0.00000000e+00 3.71419573e-03 5.39378359e-04
 8.26559619e-03 1.04224943e-03 9.84689130e-03 4.02022272e-04
 6.53269149e-03 8.97550404e-04 6.46855970e-03 0.00000000e+00
 1.30349765e-03 1.00970644e-04 9.00921901e-06]","[0.01828613 0.         0.         0.00870128 0.         0.00196086
 0.         0.         0.         0.         0.01442725 0.
 0.02115972 0.01920548 0.03550023]"
"[1.02173645e-03 6.48591827e-03 0.00000000e+00 6.35022644e-03
 3.50997569e-03 8.22132418e-03 3.09368183e-05 5.31931142e-03
 2.27093465e-03 7.34900094e-03 6.33238537e-03 3.10304250e-04
 8.49149128e-03 7.16269115e-03 7.07345721e-04]","[0.03154512 0.         0.         0.         0.04692018 0.
 0.01483945 0.         0.05618862 0.         0.         0.05653835
 0.         0.04700953 0.        ]","[0.01720375 0.         0.         0.01149444 0.01574779 0.01762585
 0.00271732 0.01366212 0.01727077 0.         0.00867076 0.01711796
 0.         0.01739573 0.        ]","[0.01241031 0.         0.         0.00625255 0.01421966 0.
 0.02178883 0.         0.01012338 0.         0.02308575 0.02905838
 0.         0.02868866 0.        ]","[0.01723598 0.         0.         0.00715581 0.00693001 0.01710435
 0.00887588 0.01194814 0.00837064 0.         0.01576239 0.0165652
 0.         0.00570872 0.        ]","[0.02831418 0.         0.         0.01129024 0.02789739 0.
 0.02071576 0.01827848 0.02334158 0.         0.         0.02914022
 0.         0.02405597 0.        ]","[0.01657467 0.         0.         0.01295403 0.00645796 0.01758628
 0.00350834 0.00939118 0.01605893 0.         0.01611438 0.01478677
 0.         0.00519579 0.        ]","[0.02715438 0.         0.         0.         0.04643718 0.
 0.00315414 0.         0.05401071 0.         0.         0.05408233
 0.         0.04597452 0.        ]","[0.02219397 0.         0.         0.01277564 0.02132332 0.02219609
 0.00495484 0.         0.01995166 0.         0.01954597 0.02079898
 0.         0.01145817 0.        ]","[0.0558351  0.         0.         0.         0.04307099 0.
 0.01675526 0.         0.03600996 0.         0.         0.05587032
 0.         0.03135009 0.        ]","[0.02829159 0.         0.         0.02849384 0.02751279 0.
 0.0016949  0.         0.0139393  0.         0.02538645 0.02758013
 0.         0.00913687 0.        ]","[0.04909973 0.         0.         0.01861238 0.04076158 0.
 0.04793722 0.         0.05093153 0.         0.         0.
 0.         0.00848256 0.        ]"
"[3.72617488e-03 1.77105480e-03 4.50871778e-03 6.34972139e-03
 2.32389014e-04 1.82832769e-03 3.55778718e-03 7.31480995e-03
 6.61104429e-03 3.21072323e-03 8.58540360e-06 5.57975339e-04
 2.91086083e-03 4.01318872e-03 1.77147635e-04]","[0.00807609 0.0077565  0.01419228 0.01192058 0.         0.00632528
 0.         0.01434863 0.         0.01406111 0.00124332 0.
 0.00304507 0.01056513 0.00042198]","[3.24744424e-03 1.71872175e-03 7.11566114e-03 7.08709057e-03
 2.36773949e-03 1.82333222e-03 4.48224386e-03 7.33359990e-03
 6.75977779e-03 6.65625900e-03 6.60958111e-06 5.38017164e-04
 6.81676465e-03 6.16506677e-03 1.94376483e-03]","[0.01098361 0.00596118 0.01149488 0.00955217 0.002677   0.
 0.         0.         0.00630021 0.01125403 0.00104177 0.00224776
 0.01063136 0.00444944 0.00400868]","[4.79240458e-03 1.08695173e-03 6.77902921e-03 6.69746889e-03
 1.37862002e-03 5.77239235e-04 5.18956666e-03 7.30934106e-03
 7.33410555e-03 5.10341729e-03 1.56449780e-05 3.15874572e-04
 6.11236633e-03 4.85968212e-03 1.09282186e-03]","[1.09731839e-02 7.95506793e-05 5.26251508e-03 9.05966108e-03
 7.08229080e-03 0.00000000e+00 6.26969553e-04 1.18706450e-02
 1.14336949e-02 8.85328660e-03 3.06895111e-03 0.00000000e+00
 1.05523355e-02 1.16292212e-02 0.00000000e+00]","[6.88541371e-03 1.67864765e-04 2.95933033e-03 7.14114221e-03
 4.49488995e-04 5.59621701e-04 3.99906444e-03 7.33641575e-03
 7.06857292e-03 6.27290381e-03 1.23676451e-04 4.41778992e-05
 1.60040243e-03 6.38833630e-03 3.45155631e-04]","[0.01396754 0.01583966 0.01726167 0.01742057 0.         0.
 0.0144324  0.         0.00678452 0.         0.         0.
 0.01172542 0.02224687 0.01438703]","[0.0042077  0.00327401 0.0088094  0.00985045 0.00251878 0.
 0.0032203  0.         0.00968525 0.0069928  0.00162469 0.00094003
 0.00922723 0.00972645 0.00071833]","[0.0114569  0.02528116 0.0262906  0.         0.00350109 0.
 0.         0.         0.         0.02879061 0.01326205 0.
 0.02847241 0.00174562 0.        ]","[0.00115876 0.00029024 0.01020446 0.01183571 0.00237628 0.
 0.00285932 0.         0.01144848 0.01122814 0.00468667 0.
 0.00992222 0.01133003 0.00270414]","[0.         0.00540425 0.         0.         0.         0.
 0.         0.         0.0736046  0.         0.06774088 0.00423618
 0.         0.         0.07648409]"
"[7.29165118e-03 4.00799527e-05 1.21570701e-05 1.54578398e-05
 6.69947910e-05 5.20543052e-03 2.50157624e-06 2.41370168e-04
 3.87669770e-03 1.58231878e-05 6.88736753e-03 4.28857923e-04
 1.39042137e-05 3.77872778e-03 3.96985696e-05]","[1.18502961e-02 1.01194195e-02 4.59605843e-04 1.12564451e-02
 1.00931842e-02 1.08571377e-02 1.99279554e-03 6.81120974e-03
 1.02533068e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.31414206e-05 9.09790072e-03 3.86457330e-04]","[7.11060721e-03 2.20531710e-04 3.77735194e-05 3.21545650e-06
 9.20846992e-05 4.60020823e-03 2.76667738e-06 1.85427993e-04
 4.10612825e-03 1.38583762e-05 5.59946146e-03 1.90341592e-03
 4.31829517e-05 1.32509055e-03 5.46419525e-05]","[0.01425778 0.0061426  0.00101048 0.01416953 0.01371173 0.01408845
 0.00418883 0.00867047 0.         0.00295865 0.         0.
 0.00036791 0.         0.00738786]","[8.32060059e-03 8.17289701e-04 2.37999769e-03 1.20542923e-04
 9.44487739e-05 8.09133095e-03 3.84842755e-06 2.45910981e-04
 4.27763865e-03 1.03435369e-05 6.93976691e-03 7.90665082e-03
 1.83205680e-03 0.00000000e+00 4.85092215e-05]","[0.01745405 0.00984357 0.001086   0.00361289 0.00612803 0.
 0.         0.0046233  0.00685478 0.         0.         0.01696807
 0.00823984 0.         0.01343594]","[7.27329603e-03 5.30966298e-04 1.95273043e-05 8.82656948e-06
 2.27455635e-04 5.71325252e-03 1.53054743e-05 5.19422095e-04
 5.65527319e-03 1.12052240e-05 6.73385257e-03 3.43886058e-03
 2.23306206e-05 2.76751059e-03 1.36003674e-04]","[0.01402302 0.0105164  0.01403536 0.00060182 0.00140778 0.01411622
 0.00078208 0.00039105 0.0129882  0.         0.         0.
 0.00427921 0.         0.00336392]","[8.43394883e-03 7.49300708e-05 1.97562607e-05 3.41886361e-04
 1.44990376e-04 8.08115086e-03 8.43347564e-06 1.87602681e-03
 1.88438776e-03 2.61282595e-05 7.80320596e-03 4.44487731e-03
 1.39702517e-05 0.00000000e+00 1.39793569e-04]","[0.         0.         0.03548023 0.02986155 0.00182513 0.03831122
 0.         0.02050356 0.         0.         0.         0.
 0.01801523 0.         0.0207146 ]","[9.84067761e-03 3.28073577e-04 3.68563257e-05 2.25299270e-03
 1.06970197e-03 8.79689425e-03 2.95528084e-05 2.63561935e-04
 2.94559696e-03 4.73506755e-04 0.00000000e+00 7.24106250e-03
 1.22359957e-06 0.00000000e+00 1.53434333e-04]","[0.         0.         0.         0.0035598  0.00582006 0.04576458
 0.         0.00796144 0.         0.         0.         0.
 0.00155964 0.         0.03617351]"
"[1.79490919e-04 4.52641263e-03 4.54752866e-03 6.86849475e-05
 7.33150566e-03 4.51090562e-03 7.15241354e-03 5.30188271e-03
 8.58469178e-04 4.25811920e-03 7.27686301e-03 2.19839588e-03
 3.09476279e-03 2.27305709e-04 7.22349532e-03]","[0.01983258 0.         0.         0.         0.         0.01073892
 0.02151992 0.         0.02199127 0.01146351 0.01730088 0.01529939
 0.         0.01673986 0.0222811 ]","[5.27940080e-04 2.83903155e-03 2.20228185e-03 4.34619869e-05
 0.00000000e+00 1.56950687e-03 8.32301050e-03 3.70561715e-03
 6.64341772e-03 5.01630103e-03 8.41558755e-03 9.36294201e-04
 4.41650035e-03 1.23317419e-03 8.50247245e-03]","[0.03862453 0.         0.         0.         0.         0.
 0.03441405 0.         0.03381371 0.         0.02972283 0.03814841
 0.         0.03685983 0.03912855]","[0.0036105  0.00138079 0.00116344 0.0047948  0.         0.
 0.01141075 0.00918306 0.00989883 0.         0.01166091 0.00766973
 0.0114707  0.00688421 0.01186455]","[0.0122881  0.         0.02611776 0.02090007 0.         0.
 0.         0.         0.02805411 0.         0.02467427 0.02719332
 0.         0.02296514 0.02913575]","[0.00411471 0.00029864 0.00282177 0.0047462  0.         0.
 0.01132785 0.01045906 0.00285803 0.         0.01176469 0.00866151
 0.01014744 0.0074343  0.01182555]","[0.0081085  0.02799808 0.         0.         0.         0.
 0.02731048 0.         0.02130165 0.         0.02053857 0.02754435
 0.         0.02711095 0.02894675]","[0.00023468 0.01199813 0.00992852 0.00631204 0.         0.
 0.01428585 0.010542   0.00598997 0.         0.01426878 0.00301472
 0.         0.01138291 0.01434105]","[0.02507835 0.         0.         0.01047808 0.         0.
 0.02677524 0.         0.02229839 0.         0.02757031 0.02888659
 0.         0.02023981 0.02199318]","[0.00895913 0.012953   0.         0.00717076 0.         0.
 0.02217288 0.         0.00554966 0.         0.02188735 0.02005309
 0.         0.01759834 0.02231153]","[0.05441745 0.05336225 0.         0.         0.         0.
 0.0803213  0.         0.07137365 0.         0.         0.
 0.         0.0275301  0.        ]"
