TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10.0,TpsRandomic + IndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15.0,TpsRandomic + IndividualEstimated_INR + -15.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10.0,TpsRandomic + CumulativeIndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15.0,TpsRandomic + CumulativeIndividualEstimated_INR + -15.0
"[7.77087383e-03 3.92438699e-05 1.93417038e-03 4.81140810e-04
 4.88190913e-03 8.43328649e-03 8.51030676e-03 8.31320752e-03
 1.88062819e-03 4.30773189e-03 0.00000000e+00 4.31425143e-05
 6.17771682e-03 1.54345076e-03 3.82744466e-03]","[0.00636818 0.00175546 0.00769238 0.00434555 0.00892714 0.
 0.00692502 0.         0.01007139 0.00684429 0.         0.01329807
 0.         0.00262657 0.01370447]","[1.14435386e-02 8.82555858e-05 5.20575345e-03 6.83081251e-03
 8.09020823e-03 0.00000000e+00 1.18616730e-02 1.18420669e-02
 0.00000000e+00 4.38727953e-03 0.00000000e+00 2.38042413e-03
 1.12213491e-02 1.06720978e-03 9.04527621e-03]","[0.0165667  0.00497903 0.01690674 0.0124872  0.00985888 0.
 0.         0.         0.         0.00716073 0.         0.01506896
 0.00963149 0.00428135 0.01258898]","[1.07927561e-02 6.34548371e-05 1.13943461e-02 6.43635529e-03
 9.05476652e-03 0.00000000e+00 1.18500719e-02 1.18620157e-02
 0.00000000e+00 1.15469490e-02 0.00000000e+00 3.22780382e-03
 1.15930636e-02 4.24598484e-04 8.26954034e-03]","[0.0290842  0.00785902 0.01561374 0.02347393 0.02654121 0.
 0.         0.         0.         0.         0.         0.01852885
 0.         0.02849859 0.02418621]","[0.01177925 0.0002996  0.00753388 0.00541676 0.00784718 0.
 0.01180615 0.01186218 0.         0.00903511 0.         0.00300891
 0.0105332  0.00374908 0.01088893]","[0.00978673 0.00152653 0.01929037 0.02846647 0.01601461 0.
 0.         0.         0.         0.         0.         0.02176972
 0.         0.01053009 0.02475016]","[0.01156931 0.00014744 0.01103626 0.00650373 0.0115639  0.
 0.01184262 0.01168069 0.         0.00632389 0.         0.00116277
 0.01014951 0.00146766 0.01000969]","[0.0128612  0.00286425 0.01230004 0.00275353 0.01417708 0.
 0.02235336 0.         0.         0.         0.         0.02207187
 0.         0.00371877 0.01786274]","[0.01380624 0.00244236 0.010343   0.00478187 0.00884628 0.
 0.01434976 0.         0.         0.01003032 0.         0.00489553
 0.01362346 0.01202021 0.00956159]","[0.02783449 0.03267902 0.         0.00519107 0.01323491 0.
 0.         0.         0.         0.         0.         0.0372736
 0.         0.00299978 0.03872267]"
"[2.69785162e-04 8.33228343e-03 6.57469313e-06 6.63608182e-03
 8.33666383e-03 8.35426597e-03 6.61779758e-03 6.91655724e-05
 1.29289131e-03 8.43659107e-03 0.00000000e+00 4.09285521e-07
 1.16742959e-05 6.88638645e-03 1.97092026e-05]","[0.01455194 0.         0.00747932 0.01153812 0.01145221 0.0149599
 0.01769285 0.01596688 0.01723466 0.         0.         0.00010998
 0.01225554 0.         0.        ]","[2.21421801e-04 8.28163158e-03 4.13343374e-07 8.11839735e-03
 6.65400224e-03 8.44689235e-03 8.15312555e-03 4.58732648e-05
 8.32483063e-04 8.44165521e-03 0.00000000e+00 3.33949906e-07
 9.04931508e-06 1.78947846e-03 1.13750994e-04]","[0.00343888 0.01183416 0.00299411 0.00296622 0.00874049 0.01131657
 0.01179849 0.00835622 0.01185359 0.         0.         0.00046487
 0.0019715  0.01179857 0.        ]","[2.10945955e-04 0.00000000e+00 9.62029710e-05 1.05743472e-02
 1.14737735e-02 1.15524596e-02 1.15275992e-02 6.96674998e-03
 4.07077284e-03 0.00000000e+00 0.00000000e+00 6.21887895e-04
 1.31783011e-03 1.17777280e-02 4.63046956e-03]","[0.01180976 0.         0.00688681 0.01008937 0.01377655 0.0143551
 0.01422901 0.00988182 0.01431598 0.         0.         0.00073884
 0.01271717 0.         0.00310966]","[7.15993527e-05 0.00000000e+00 5.58997242e-05 1.16192887e-02
 1.11665176e-02 1.09009886e-02 1.16801309e-02 2.66750672e-03
 7.69990781e-03 0.00000000e+00 0.00000000e+00 2.90412322e-04
 3.71751801e-03 1.15913265e-02 3.20797007e-03]","[0.01335919 0.         0.01107375 0.01617366 0.01749711 0.01740525
 0.01763676 0.0029916  0.00983709 0.         0.         0.01398533
 0.01671256 0.         0.        ]","[1.33448259e-05 0.00000000e+00 2.19071945e-03 1.39056141e-02
 1.34209285e-02 1.38281162e-02 1.32313816e-02 6.04662710e-03
 1.15511620e-02 0.00000000e+00 0.00000000e+00 7.78278157e-04
 3.00789049e-03 1.26358532e-02 0.00000000e+00]","[0.02235326 0.         0.00817047 0.0212165  0.         0.02228592
 0.02180281 0.01657098 0.01440707 0.         0.         0.00013834
 0.01942942 0.         0.        ]","[0.00759645 0.         0.00486679 0.01106516 0.01558317 0.01754114
 0.01580811 0.00817508 0.01101935 0.         0.         0.00495168
 0.00265118 0.         0.        ]","[0.02281207 0.         0.00545857 0.         0.02719325 0.
 0.01998178 0.02244047 0.01399112 0.         0.         0.00016457
 0.02001555 0.         0.        ]"
"[3.93211940e-07 5.75120455e-03 1.30243328e-06 1.56619883e-05
 5.00856238e-04 1.34495930e-03 8.47631476e-03 6.43227267e-03
 7.61686363e-03 7.51511739e-04 0.00000000e+00 8.23306636e-03
 5.24119880e-06 2.67202836e-04 7.33056625e-04]","[3.49079273e-03 9.65734217e-03 2.44250070e-05 5.24929041e-04
 9.42227686e-03 1.55044044e-03 8.90714773e-03 9.98157506e-03
 9.98274369e-03 3.46075063e-03 0.00000000e+00 0.00000000e+00
 9.29393059e-03 6.64751206e-03 8.13614065e-03]","[5.71111886e-08 3.32191931e-03 1.71533545e-06 2.28802003e-03
 8.95559520e-04 3.06937192e-05 8.22873272e-03 2.69483017e-03
 6.55000789e-03 1.00726030e-03 0.00000000e+00 6.90390323e-03
 1.61098777e-06 3.48474271e-04 8.08149921e-03]","[0.00146768 0.01384894 0.01206732 0.0141511  0.01249795 0.
 0.01318249 0.01435289 0.01430951 0.01390622 0.         0.
 0.01015052 0.00177894 0.        ]","[8.86636538e-08 7.55576238e-03 3.80015845e-06 8.52280260e-05
 6.70896593e-04 4.39018653e-04 8.18613313e-03 7.97543219e-03
 4.83790088e-03 7.93103612e-04 0.00000000e+00 7.40137916e-03
 1.98536615e-05 7.35539276e-04 2.90102580e-03]","[0.00536819 0.00860156 0.00342927 0.00922303 0.0029973  0.00555355
 0.01184077 0.01180432 0.         0.00765712 0.         0.0116493
 0.01053024 0.         0.00944394]","[1.00169160e-06 6.18050046e-03 8.47829578e-06 6.63623277e-05
 5.41204649e-03 5.70072014e-05 8.49976817e-03 5.66342271e-03
 3.69217808e-03 1.88861156e-03 0.00000000e+00 8.39999442e-03
 6.66897554e-06 1.48392690e-03 2.43934607e-03]","[0.00012229 0.00688836 0.00900919 0.01183597 0.00228957 0.01016075
 0.01023697 0.         0.01187062 0.00167942 0.         0.
 0.01107174 0.00710641 0.00907812]","[2.95623118e-08 2.53336560e-03 7.76182548e-06 3.34521842e-05
 1.08228463e-03 2.59414710e-03 8.49995281e-03 8.28080939e-03
 8.42972561e-03 1.23662722e-03 0.00000000e+00 5.87064922e-03
 1.06651971e-06 1.37873961e-03 1.42873394e-03]","[0.00035018 0.02220781 0.00421313 0.01607258 0.01906509 0.
 0.         0.         0.         0.0046362  0.         0.
 0.02229076 0.01552832 0.0213661 ]","[9.34680093e-06 8.54148615e-03 8.98233403e-06 4.46483711e-03
 1.45726504e-03 7.34405905e-04 9.97785490e-03 0.00000000e+00
 7.73683782e-03 2.96429320e-03 0.00000000e+00 9.83589865e-03
 6.89911614e-05 1.96575186e-03 8.35509653e-03]","[0.01253903 0.01749455 0.01592526 0.01676873 0.01583633 0.
 0.0173512  0.         0.01669837 0.01156713 0.         0.
 0.00031172 0.         0.0140851 ]"
"[0.00000000e+00 7.50531882e-03 6.76138644e-03 5.23636828e-04
 3.48213506e-03 8.05840996e-03 6.99033122e-03 2.19858876e-03
 7.97724059e-03 8.16080520e-03 6.94703289e-03 1.15847294e-06
 2.15387084e-05 7.91949591e-04 3.93931701e-05]","[0.         0.01770052 0.01739508 0.         0.         0.
 0.         0.01677357 0.01769748 0.01657251 0.01650304 0.01045405
 0.0176119  0.01418187 0.01664629]","[0.         0.00788878 0.0078053  0.0086666  0.         0.00943956
 0.00790781 0.00546172 0.00990845 0.00990019 0.00963228 0.00093051
 0.00040828 0.00021784 0.00145797]","[0.00000000e+00 9.85106422e-03 7.62115270e-03 2.07541025e-03
 0.00000000e+00 5.70162611e-04 6.98929416e-03 9.97068921e-03
 2.58266499e-03 9.93620742e-03 9.91947182e-03 4.83078828e-03
 1.59317071e-03 2.05109151e-06 6.76470820e-05]","[0.00000000e+00 1.02511217e-02 9.15541452e-03 9.36815678e-03
 0.00000000e+00 9.77944194e-03 9.28405454e-03 6.84169894e-03
 1.13604816e-02 0.00000000e+00 9.56227225e-03 4.02796575e-04
 1.06904352e-02 7.81404487e-04 8.48828991e-06]","[0.         0.02235608 0.01690782 0.         0.         0.02068969
 0.         0.01999149 0.02083104 0.         0.02231236 0.01954575
 0.02232642 0.01011765 0.        ]","[0.         0.00956721 0.0099235  0.00782627 0.         0.00934781
 0.00800763 0.00771929 0.00970725 0.00955749 0.0092612  0.0008619
 0.00205952 0.005041   0.00086022]","[0.         0.02220104 0.         0.         0.         0.
 0.00566409 0.0182102  0.02229338 0.         0.02216158 0.00117293
 0.02221884 0.02173681 0.02149947]","[0.00000000e+00 1.13530414e-02 8.80818574e-03 5.02099999e-03
 0.00000000e+00 1.12964937e-02 6.91283793e-03 9.43826748e-03
 1.13404124e-02 0.00000000e+00 1.16549955e-02 7.95396904e-04
 6.14544870e-03 2.32132157e-03 7.24229804e-06]","[0.         0.         0.01558853 0.         0.         0.02420258
 0.         0.02808666 0.02913856 0.         0.02895941 0.02819089
 0.02851873 0.00648192 0.        ]","[0.         0.01421577 0.01020649 0.         0.         0.01385802
 0.00868892 0.01422455 0.01401096 0.         0.01424366 0.00147655
 0.01414042 0.00669043 0.00013647]","[0.         0.         0.03606766 0.         0.         0.
 0.         0.02781587 0.         0.         0.         0.01159902
 0.02575082 0.07418675 0.        ]"
"[1.35573610e-04 6.89013316e-03 2.39343581e-05 7.30508607e-03
 7.34072736e-03 1.66542273e-04 2.95394370e-03 6.66002931e-03
 2.72033511e-03 6.65974878e-03 2.70003931e-03 1.57246487e-06
 3.25507768e-03 3.12247388e-05 1.50406452e-03]","[0.         0.00954807 0.00484012 0.         0.00998341 0.0027219
 0.00951039 0.00872234 0.00891719 0.00988073 0.00093682 0.00725508
 0.00793343 0.00755235 0.00997552]","[8.25008655e-05 4.80383867e-03 8.38166983e-06 7.28512923e-03
 7.33817365e-03 1.65720532e-04 5.98614535e-03 6.58380904e-03
 2.27997336e-03 6.55410526e-03 1.90899943e-03 1.95221092e-07
 1.59850610e-03 2.02374728e-05 5.72341979e-04]","[0.         0.01430981 0.01261147 0.         0.01429063 0.01318811
 0.01383159 0.         0.00765103 0.01347731 0.01098422 0.01356527
 0.         0.00151767 0.01108569]","[1.07910268e-04 5.76909997e-03 5.92413014e-05 7.19106553e-03
 7.31028101e-03 5.75065688e-04 6.66368150e-03 6.27701828e-03
 4.13351044e-03 6.93745107e-03 2.31739111e-03 3.78294840e-07
 4.87908665e-03 7.53793913e-06 7.34310588e-05]","[0.         0.01428214 0.01251978 0.01396253 0.01435198 0.00974283
 0.01425186 0.         0.01118692 0.01158603 0.00628291 0.
 0.         0.00393877 0.01421125]","[3.00073096e-04 5.12431393e-03 1.19449391e-05 7.33268233e-03
 7.33924638e-03 1.43716391e-04 2.38399289e-03 6.40343787e-03
 1.40296994e-03 6.92801701e-03 4.17391892e-03 2.38340653e-07
 2.08591568e-03 1.22857154e-04 7.73720974e-04]","[0.         0.00726217 0.01408605 0.0143065  0.         0.0015561
 0.01201843 0.         0.0052455  0.01350386 0.01342575 0.
 0.01198955 0.00710772 0.00745879]","[0.00000000e+00 7.84950441e-03 3.01141683e-04 8.46096986e-03
 8.50406135e-03 5.38461416e-04 6.40810065e-03 8.41047017e-03
 4.86632554e-03 8.33826391e-03 7.51187412e-03 2.65728747e-06
 2.91993571e-03 2.91763058e-05 6.13615828e-04]","[0.         0.         0.01821525 0.         0.         0.01326274
 0.02107842 0.         0.00810333 0.01459275 0.01757799 0.00196622
 0.         0.00619587 0.01260485]","[0.         0.00979959 0.00153719 0.00940583 0.00998355 0.00134685
 0.00797156 0.         0.00782032 0.00966307 0.00471595 0.00161414
 0.00343952 0.00015987 0.00249198]","[0.         0.         0.00873335 0.02069514 0.0289936  0.
 0.         0.         0.02104619 0.01708512 0.00831133 0.
 0.01801329 0.01285011 0.        ]"
"[2.82068269e-05 2.35240420e-06 4.00687655e-03 4.51540116e-06
 2.21317179e-08 7.31620369e-03 7.15485021e-05 1.14296463e-04
 6.85987341e-03 3.60289612e-06 1.51246751e-04 8.33779858e-04
 3.30565940e-04 1.61036146e-04 7.34057571e-03]","[0.00028047 0.         0.         0.00726797 0.00202297 0.00982449
 0.00059264 0.00518511 0.00343933 0.00085312 0.00071538 0.00587045
 0.00948139 0.00988167 0.00991315]","[1.01235741e-04 1.08851954e-05 2.35173855e-03 2.93995585e-05
 3.43200968e-08 7.29082835e-03 7.24115452e-04 1.49063626e-03
 7.24530080e-03 3.73478542e-06 5.20192430e-04 2.73448596e-03
 1.33312360e-04 9.38228573e-04 7.34107268e-03]","[3.80083873e-07 2.39199553e-05 0.00000000e+00 1.15822503e-04
 5.82356660e-04 7.89358681e-03 5.21531670e-04 1.27971258e-04
 3.88491762e-03 6.19393436e-03 1.91035680e-03 1.33904442e-03
 1.73346880e-03 1.23349307e-03 8.21923649e-03]","[1.83946081e-05 3.79834018e-05 1.83431432e-03 6.82362061e-06
 1.03769139e-08 7.32232762e-03 1.47576159e-04 4.42979498e-05
 5.59084013e-03 3.11583616e-05 9.92176591e-05 4.95716674e-03
 9.47176467e-05 2.40733650e-04 7.33899087e-03]","[0.         0.02194172 0.         0.0158084  0.02181379 0.02133996
 0.         0.00702449 0.         0.01355691 0.02225002 0.01564722
 0.         0.         0.02236769]","[2.02826373e-05 6.32954916e-06 1.53652807e-03 8.05453568e-06
 1.20625370e-08 7.31215447e-03 8.75453596e-05 3.01801291e-05
 6.87941558e-03 1.52832896e-05 1.09278631e-04 1.88275178e-03
 7.54716452e-05 2.82545516e-04 7.33940775e-03]","[0.         0.00873355 0.         0.00426122 0.01406759 0.00220947
 0.00160862 0.00619501 0.         0.0104634  0.01221294 0.01157267
 0.00567308 0.         0.01429892]","[8.51141179e-05 9.75088233e-06 9.41679281e-04 3.41742435e-05
 1.30855993e-08 7.17341346e-03 2.15064394e-04 5.79578908e-04
 6.96158246e-03 4.86143532e-05 4.41407240e-04 2.54822666e-03
 4.21465881e-05 1.06897096e-03 7.33960853e-03]","[0.         0.         0.         0.00639615 0.01613874 0.02074781
 0.00253063 0.00205543 0.01966227 0.01682578 0.         0.
 0.         0.02139109 0.02218699]","[3.32015877e-05 1.38787657e-05 2.29756849e-03 2.18112809e-06
 3.06818205e-04 8.46141163e-03 1.37054864e-04 2.06986760e-04
 0.00000000e+00 1.91753722e-04 3.39902386e-04 5.29143774e-03
 1.09864081e-03 3.17587901e-04 8.50548334e-03]","[0.         0.         0.         0.         0.         0.02610956
 0.00123535 0.00607556 0.         0.01279715 0.00836702 0.02000257
 0.         0.01345214 0.0291442 ]"
"[1.39891401e-03 3.46220560e-05 6.98175035e-03 1.07652891e-03
 3.28351503e-03 6.10400737e-03 4.31333694e-04 2.81686082e-03
 4.89031246e-04 2.63277214e-03 6.98021791e-05 2.61376601e-03
 8.62084921e-05 1.14185998e-03 2.64019767e-03]","[0.00065721 0.00061932 0.00730158 0.00151153 0.00643779 0.00631178
 0.00323698 0.00275527 0.00519901 0.0071847  0.00458615 0.002451
 0.00055061 0.00303869 0.00637676]","[5.73257758e-03 7.81617926e-05 5.10949882e-03 1.97361024e-04
 1.45234687e-03 7.29521140e-03 2.42652288e-05 4.56588812e-03
 5.91266232e-04 3.03471243e-03 9.31161562e-04 4.08679452e-03
 1.02865898e-05 2.11135433e-04 1.07294232e-03]","[0.01028329 0.00697724 0.         0.         0.00827531 0.01174789
 0.00692602 0.01171033 0.00805733 0.01082404 0.00556768 0.01067386
 0.00512295 0.00913148 0.        ]","[4.08395939e-03 1.54975437e-04 6.22895674e-03 1.73431835e-03
 1.03706307e-03 7.22910912e-03 1.14795292e-05 5.05541986e-04
 6.10024379e-04 2.99805697e-03 3.57037102e-04 5.25376359e-03
 2.51024226e-05 1.82794204e-03 7.52291742e-04]","[0.01032844 0.00098757 0.01430067 0.         0.0135309  0.01417898
 0.01306127 0.         0.01192021 0.01363995 0.01340562 0.00942243
 0.0026689  0.         0.        ]","[5.13191102e-03 1.69187688e-05 6.32526879e-03 5.23332617e-04
 8.79777586e-04 6.70831566e-03 8.22740431e-06 6.88019773e-04
 6.47049668e-04 4.27017022e-04 6.35069219e-04 1.55857661e-03
 2.78946002e-05 5.58078136e-04 6.33856424e-04]","[0.01289917 0.00773269 0.         0.         0.01617792 0.01761356
 0.00846196 0.01136121 0.         0.01699126 0.01531921 0.
 0.01031418 0.         0.00619263]","[3.91551123e-03 7.13873506e-04 5.82588354e-03 7.17397359e-04
 1.76874261e-03 7.25874541e-03 8.18727561e-05 1.13724633e-03
 3.76162622e-04 2.69870917e-04 3.26887272e-04 6.80079929e-03
 1.72545483e-05 7.63592638e-04 1.32529476e-03]","[0.0068784  0.01080758 0.         0.01330791 0.         0.02910921
 0.0105492  0.         0.         0.02914536 0.         0.023564
 0.         0.01716485 0.        ]","[3.64842411e-03 6.01127325e-04 6.00204308e-03 5.21081258e-03
 4.72643720e-03 7.33294406e-03 7.66418629e-06 1.83774329e-04
 2.11261394e-04 5.94663898e-04 2.84282223e-04 6.69821448e-03
 2.01054789e-05 5.31426216e-03 4.08495918e-03]","[0.03556474 0.00442965 0.         0.         0.         0.03907076
 0.01339016 0.         0.         0.         0.         0.02968953
 0.01367818 0.         0.01574563]"
"[7.93142144e-07 0.00000000e+00 2.55905430e-06 5.75327200e-03
 6.49165004e-03 2.50300628e-04 7.93841332e-03 1.10449496e-03
 8.50576917e-03 1.74605282e-03 8.13508626e-03 8.00483218e-03
 3.09025042e-03 3.60671827e-04 1.07654139e-04]","[0.01477223 0.         0.01322219 0.         0.01750049 0.01180024
 0.01528856 0.01595565 0.         0.         0.01382542 0.01543923
 0.01488207 0.         0.01505079]","[3.42979343e-07 0.00000000e+00 7.29128947e-05 9.95733072e-03
 0.00000000e+00 3.62361807e-03 7.17948433e-03 4.09617234e-04
 9.98049721e-03 1.91783264e-03 6.43198159e-03 9.16855864e-03
 7.17454511e-03 8.10246943e-04 9.01131652e-03]","[0.02109333 0.         0.0032893  0.         0.         0.0213479
 0.01119754 0.0267218  0.02911326 0.         0.         0.02655425
 0.         0.         0.01487074]","[1.03103272e-06 0.00000000e+00 7.45600081e-06 2.05741649e-03
 0.00000000e+00 5.43702133e-03 2.90751699e-03 6.75225752e-04
 9.93109137e-03 5.11158299e-03 4.49111845e-03 7.99279485e-03
 8.83345245e-03 8.87840023e-05 6.40948887e-05]","[0.0067237  0.         0.         0.         0.         0.0127911
 0.01149224 0.01273996 0.01768205 0.01002636 0.00830999 0.01730381
 0.         0.01547712 0.01709382]","[4.99592926e-07 0.00000000e+00 2.77900812e-04 8.67339500e-03
 0.00000000e+00 5.85968239e-03 5.51503397e-03 1.62232095e-04
 9.95304767e-03 7.18582582e-04 9.20652022e-03 9.06013649e-03
 7.86868206e-03 2.55396983e-03 1.41205462e-03]","[0.00598768 0.         0.         0.01310892 0.         0.01566339
 0.0170825  0.         0.01769084 0.00458879 0.         0.01749244
 0.00990879 0.00842612 0.01427925]","[9.48386942e-07 0.00000000e+00 3.77784050e-04 1.02348840e-02
 0.00000000e+00 1.07087230e-02 4.71109998e-03 1.01638695e-02
 1.17935673e-02 6.57211104e-03 0.00000000e+00 1.18359142e-02
 1.05024542e-02 3.20379290e-03 2.28228406e-03]","[0.00598678 0.         0.00092826 0.         0.         0.
 0.00325912 0.         0.0393117  0.         0.         0.02273325
 0.021103   0.         0.03621178]","[1.38896788e-06 0.00000000e+00 2.01310309e-03 0.00000000e+00
 0.00000000e+00 1.35244341e-02 4.74776501e-03 7.04911174e-03
 1.43240556e-02 1.80820253e-03 0.00000000e+00 1.39027390e-02
 1.40658458e-02 3.64269388e-03 5.39219992e-03]","[0.02024722 0.         0.         0.         0.         0.
 0.00833814 0.02608826 0.02889759 0.00782672 0.         0.0289668
 0.02156598 0.         0.01986747]"
"[7.61541480e-03 4.01584082e-03 1.93926939e-03 3.30289641e-06
 8.31706734e-03 0.00000000e+00 4.02164763e-04 8.50810611e-03
 9.85575967e-05 4.26291639e-03 1.01516560e-03 1.54484869e-03
 2.91593790e-03 8.54115496e-06 4.16101288e-03]","[0.01083903 0.01342752 0.         0.00066207 0.01646233 0.
 0.01262402 0.         0.00706079 0.0103059  0.00953001 0.01209252
 0.         0.         0.01508701]","[7.01077463e-03 1.74494043e-03 4.00365788e-03 8.13736241e-07
 6.62048253e-03 0.00000000e+00 3.83604769e-03 8.47579702e-03
 5.35115952e-04 2.71313924e-04 4.90463812e-05 9.24787593e-04
 1.11303154e-03 2.56566833e-05 1.62280330e-03]","[0.01169655 0.01094343 0.         0.0060948  0.         0.
 0.00819634 0.01435274 0.00760903 0.00391327 0.010186   0.01195028
 0.         0.01351956 0.01074679]","[5.19757856e-03 1.82799915e-03 6.33256909e-03 3.33607418e-07
 7.38631354e-03 0.00000000e+00 2.58503515e-04 8.49876691e-03
 4.24541646e-05 2.04285111e-04 4.81618114e-05 3.34636963e-04
 1.17122017e-03 8.33849251e-05 7.49589354e-04]","[0.02528409 0.02672607 0.         0.0032696  0.         0.
 0.         0.02914597 0.01135585 0.00283908 0.0051238  0.
 0.         0.         0.00910912]","[8.20500764e-03 2.18698909e-03 2.51925690e-03 3.64432813e-06
 8.31857083e-03 0.00000000e+00 1.20318780e-03 8.49984133e-03
 5.70874354e-05 1.56561469e-03 1.01275703e-04 3.50040315e-03
 1.42880255e-03 1.21642615e-05 4.37046926e-03]","[0.01314793 0.00637842 0.01412095 0.00020247 0.01302057 0.
 0.01361127 0.         0.00678702 0.00936813 0.00329485 0.
 0.01405712 0.         0.01264063]","[1.01117858e-02 1.11409899e-02 2.67405401e-03 4.05985036e-05
 1.07673899e-02 0.00000000e+00 2.08054699e-03 1.18606255e-02
 2.47092054e-04 3.95783699e-03 2.88380956e-03 0.00000000e+00
 7.10467037e-03 0.00000000e+00 9.44245393e-03]","[0.01661384 0.01965151 0.02119156 0.00163304 0.         0.
 0.         0.         0.00392348 0.00890314 0.00333509 0.
 0.01791406 0.         0.00397588]","[0.01410873 0.01337562 0.         0.01185341 0.01088192 0.
 0.00663245 0.01435275 0.00133998 0.00486827 0.00247761 0.
 0.01414093 0.         0.01210764]","[0.0080632  0.02412864 0.         0.02146803 0.         0.
 0.         0.         0.00752148 0.00524486 0.01587438 0.
 0.         0.         0.03577987]"
"[1.52140607e-03 1.67279165e-05 1.28271029e-03 2.86720252e-06
 1.14190414e-06 7.22998300e-04 5.65414015e-03 6.34888561e-03
 4.84587899e-04 1.09722163e-04 7.32563802e-03 7.34161914e-03
 2.65204981e-05 6.47549528e-05 5.79538841e-03]","[5.17765913e-03 7.41977980e-03 1.18614607e-02 1.39419374e-02
 7.33940647e-03 4.27593241e-04 0.00000000e+00 6.04995576e-03
 0.00000000e+00 1.45310804e-05 1.36653907e-02 0.00000000e+00
 6.49276764e-03 1.46705124e-03 0.00000000e+00]","[1.08066646e-04 8.63496074e-06 7.96353382e-04 2.15093509e-05
 1.16460096e-05 4.32662733e-05 4.75754253e-03 5.51892767e-03
 1.10383112e-03 1.44020232e-04 7.06624213e-03 7.34128457e-03
 1.52647960e-05 4.60532655e-04 7.15502201e-03]","[0.01116372 0.00427762 0.01099825 0.01331661 0.01421257 0.01166879
 0.         0.         0.01199248 0.00463124 0.01415359 0.
 0.00121731 0.01178663 0.        ]","[1.53143456e-04 2.51504486e-05 5.49081003e-03 6.81000856e-06
 4.28609998e-03 1.97332943e-05 8.10065396e-03 7.51467153e-03
 5.45813825e-04 7.05493796e-06 7.02570861e-03 8.51110597e-03
 2.00106009e-04 6.48356140e-05 0.00000000e+00]","[0.01110143 0.         0.         0.00608455 0.00119019 0.00053294
 0.         0.         0.         0.         0.02811549 0.0291233
 0.0276741  0.0074046  0.        ]","[2.08455549e-04 2.48275982e-06 4.54630423e-04 2.89993574e-06
 3.91194542e-06 1.40116958e-05 5.03086197e-03 7.30647932e-03
 6.68042913e-04 3.28027580e-05 7.19837953e-03 7.33957141e-03
 8.28988182e-06 6.54803720e-05 6.81156609e-03]","[4.48690907e-04 2.65612326e-03 3.21484773e-03 9.30247240e-03
 8.30204392e-03 1.29607338e-03 9.04236155e-03 9.96025999e-03
 9.42645924e-03 1.00519809e-05 2.51562617e-03 0.00000000e+00
 5.11305880e-03 6.68537675e-03 0.00000000e+00]","[2.04374816e-04 3.05341310e-05 3.37423179e-03 5.29098512e-05
 1.73691005e-03 3.05857869e-05 6.43514664e-03 7.73196200e-03
 5.87877958e-03 1.85285159e-04 7.35337193e-03 8.51117562e-03
 7.34084016e-05 4.81471934e-04 0.00000000e+00]","[0.         0.         0.01959027 0.00142597 0.01272864 0.00505719
 0.         0.         0.         0.0015592  0.         0.02914326
 0.0133918  0.00501113 0.        ]","[9.42569011e-04 8.73180237e-03 2.32504579e-03 9.98970935e-04
 2.40885229e-03 7.64600588e-05 7.74046728e-03 8.95569967e-03
 3.74253543e-03 1.20456351e-05 4.26661718e-03 0.00000000e+00
 1.51306209e-04 5.08506171e-05 0.00000000e+00]","[0.         0.04907999 0.         0.         0.         0.00862103
 0.         0.02619498 0.         0.01798813 0.         0.
 0.05497085 0.01894177 0.        ]"
