TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10.0,TpsRandomic + IndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15.0,TpsRandomic + IndividualEstimated_INR + -15.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10.0,TpsRandomic + CumulativeIndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15.0,TpsRandomic + CumulativeIndividualEstimated_INR + -15.0
"[4.46956954e-03 4.25850193e-09 5.66910000e-04 2.33596548e-04
 5.43755576e-04 7.11108422e-03 3.24841662e-05 4.23898643e-03
 5.59599368e-04 1.56124493e-05 5.13983723e-03 5.31586954e-04
 2.80106324e-03 6.25348549e-03 1.41125696e-05]","[0.         0.00234691 0.         0.00748699 0.01386272 0.
 0.00795822 0.0154367  0.01449534 0.00392413 0.01357143 0.
 0.         0.0175765  0.01133751]","[6.45687324e-03 4.72908956e-08 1.25039343e-04 7.39417163e-04
 2.73782492e-03 6.66855518e-03 6.10656554e-05 3.59660482e-03
 2.76980102e-04 3.10081418e-06 6.72719456e-03 3.40882701e-03
 8.31541913e-04 6.98519344e-03 1.03634194e-04]","[0.         0.005543   0.01056008 0.00986875 0.02215158 0.
 0.         0.02192641 0.00603889 0.0163901  0.         0.
 0.02041875 0.         0.00801554]","[6.77744642e-03 1.38406950e-08 0.00000000e+00 3.13765311e-04
 2.49669886e-03 7.75539250e-03 1.53223576e-05 6.42042742e-03
 5.20936885e-03 5.54417062e-05 8.50620938e-03 7.60211328e-05
 3.40053386e-03 6.98459621e-03 3.35571439e-04]","[0.02088796 0.01403432 0.         0.         0.         0.02153524
 0.02107007 0.         0.02086224 0.00117526 0.02107243 0.
 0.01772503 0.         0.0157411 ]","[7.75583685e-03 5.93470318e-10 0.00000000e+00 9.46227095e-05
 1.56689964e-03 8.32403783e-03 1.21832696e-06 7.79032113e-03
 8.18497894e-04 4.04687582e-04 8.46809395e-03 1.96773757e-04
 2.36182980e-04 4.87962958e-03 1.85741157e-04]","[0.         0.00178258 0.         0.         0.00287147 0.
 0.         0.02567855 0.01620543 0.00196117 0.02771511 0.
 0.01627372 0.         0.00723371]","[0.00000000e+00 6.93284167e-08 0.00000000e+00 3.94378620e-04
 3.83432489e-03 9.97121166e-03 1.48365186e-04 7.91218891e-03
 2.63317505e-03 3.69989028e-04 9.93791601e-03 9.45483615e-03
 2.84177226e-04 7.92552012e-03 1.97394370e-03]","[0.         0.00246265 0.         0.02596426 0.01368513 0.
 0.03152827 0.         0.03537375 0.         0.03898609 0.
 0.         0.         0.00753948]","[0.00000000e+00 4.29538484e-06 0.00000000e+00 5.36240238e-03
 1.96280367e-04 0.00000000e+00 4.10320477e-03 1.11458948e-02
 1.77344591e-03 2.12502744e-04 1.43465735e-02 0.00000000e+00
 2.73145907e-03 1.41770174e-02 2.97720632e-03]","[0.         0.00793777 0.         0.05029274 0.         0.
 0.         0.         0.00918967 0.         0.         0.
 0.         0.         0.06408287]"
"[8.70191759e-04 3.47184122e-06 9.68054138e-05 3.37133708e-08
 6.93041381e-04 8.26791197e-03 8.30774719e-03 1.13062026e-03
 8.47865132e-03 1.27383744e-03 0.00000000e+00 3.53646955e-03
 7.37413847e-03 1.36556079e-04 8.47403403e-03]","[0.         0.00853875 0.00127664 0.00340614 0.01121736 0.00807729
 0.01155798 0.00698146 0.01153682 0.01149824 0.         0.0064997
 0.         0.00180529 0.0031843 ]","[1.48134648e-04 5.34494300e-05 1.91487400e-04 1.83402195e-08
 7.15474706e-03 7.82484754e-03 8.47071395e-03 3.64053681e-04
 8.41033257e-03 2.15384211e-03 0.00000000e+00 8.47353377e-04
 8.42756519e-03 2.68877125e-04 8.44288069e-03]","[0.00000000e+00 7.15432795e-03 2.75216677e-05 4.76963813e-05
 1.14500840e-02 1.18456624e-02 1.17219853e-02 1.02273716e-02
 1.15175829e-02 8.07980844e-03 0.00000000e+00 8.86731799e-03
 0.00000000e+00 2.42151823e-03 1.08061503e-02]","[1.32023794e-04 3.87172732e-05 1.40245492e-03 2.92655416e-08
 2.26886491e-03 8.34159836e-03 8.45581712e-03 1.02957290e-04
 8.33571090e-03 1.67796932e-03 0.00000000e+00 7.62131193e-04
 8.39586004e-03 1.85985036e-03 8.46836641e-03]","[0.00077009 0.0087767  0.00169338 0.00645371 0.00842052 0.00974147
 0.00072374 0.00607798 0.00954052 0.00451808 0.         0.
 0.00990697 0.00369097 0.00997579]","[1.30515910e-04 3.11290948e-05 5.59994145e-04 9.49910990e-07
 6.44782825e-03 8.00087613e-03 8.50662169e-03 3.26396543e-04
 8.36240928e-03 2.05314686e-03 0.00000000e+00 7.54067350e-04
 8.36802371e-03 7.72483642e-04 8.51016458e-03]","[0.         0.00690029 0.00230595 0.00044543 0.01323756 0.01431511
 0.0141629  0.00209498 0.01332936 0.00859569 0.         0.
 0.         0.014205   0.00711268]","[5.62246481e-05 2.60621763e-05 3.39251795e-04 2.63339887e-08
 6.63239630e-03 8.43630471e-03 8.49564740e-03 1.71247173e-04
 8.29138609e-03 2.11703043e-03 0.00000000e+00 3.39210003e-04
 8.34058580e-03 4.72967984e-04 8.46359279e-03]","[0.         0.01421995 0.00042135 0.00020538 0.00155218 0.01423112
 0.01419081 0.00466577 0.         0.00402637 0.         0.00615788
 0.         0.00443117 0.0139079 ]","[5.69944463e-04 1.00563912e-05 4.25395474e-04 7.59687581e-08
 5.43815203e-03 7.92382384e-03 8.30722762e-03 9.40159249e-04
 8.03458668e-03 1.89483921e-03 0.00000000e+00 2.63328472e-03
 8.08151074e-03 5.90618076e-04 8.49483139e-03]","[0.         0.04207229 0.00287203 0.00559448 0.04375811 0.
 0.         0.         0.         0.04349826 0.         0.0307195
 0.         0.         0.        ]"
"[2.52855573e-03 7.35312520e-03 4.98695907e-03 8.02958432e-03
 1.30471268e-03 0.00000000e+00 1.12204475e-04 4.28155392e-03
 9.17549400e-05 1.64915159e-04 9.12311634e-04 2.76732242e-03
 3.74025294e-06 2.46495721e-03 8.27066873e-03]","[0.01050192 0.00662954 0.         0.00014607 0.00339846 0.
 0.00542961 0.00676283 0.         0.01327604 0.01251273 0.
 0.00368827 0.01274168 0.01384029]","[7.94262217e-04 6.30383002e-03 4.04457161e-03 3.72102591e-03
 8.49225134e-04 0.00000000e+00 1.15480518e-04 7.30269316e-03
 1.30801612e-05 3.15399938e-05 2.80370511e-04 8.93731629e-04
 1.68295979e-06 1.76102275e-03 5.23910877e-03]","[0.         0.         0.         0.03932533 0.         0.
 0.01200107 0.0054212  0.         0.02885461 0.01806732 0.
 0.02422919 0.02109447 0.        ]","[4.16963357e-03 7.74355302e-03 1.13616758e-03 7.22550464e-03
 3.18894873e-04 0.00000000e+00 6.33781404e-05 1.69481961e-03
 2.53450577e-04 1.28671589e-04 1.80932990e-03 4.44816587e-03
 5.93989044e-06 3.61721347e-04 7.83494785e-03]","[0.01563562 0.         0.         0.01801405 0.         0.
 0.01420459 0.02166571 0.0036933  0.00713301 0.0011701  0.00837757
 0.         0.         0.02052862]","[1.83625079e-03 6.28283419e-03 2.07317141e-03 5.39548595e-03
 3.35054864e-04 0.00000000e+00 7.72129093e-04 2.48124543e-03
 1.15848988e-03 1.84643053e-04 4.58497912e-04 2.03185584e-03
 1.66155543e-06 7.22619473e-04 6.64858793e-03]","[0.         0.         0.         0.05596935 0.         0.
 0.         0.05220837 0.00837607 0.         0.01669705 0.
 0.         0.0152589  0.05329691]","[0.         0.01422325 0.         0.00158408 0.0075346  0.
 0.00553807 0.00298973 0.         0.00293534 0.00207506 0.01232333
 0.01194482 0.00824587 0.01282099]","[0.         0.05606928 0.         0.         0.00163387 0.
 0.         0.05045766 0.         0.         0.05525915 0.
 0.         0.05269867 0.04348634]","[0.         0.02222598 0.         0.00955383 0.         0.
 0.01426362 0.01482986 0.         0.00618785 0.01015671 0.01275174
 0.         0.00937683 0.0183403 ]","[0.         0.05817998 0.         0.         0.         0.
 0.02046335 0.00248979 0.         0.         0.01817751 0.
 0.         0.         0.07606791]"
"[7.33962685e-03 6.07120613e-03 5.11505986e-03 4.88170014e-04
 7.03111865e-03 7.38523285e-05 6.36289606e-03 1.34603628e-03
 7.11961129e-04 3.04951607e-07 8.41275516e-05 4.12296432e-06
 6.14463310e-06 1.03600046e-06 8.86044267e-07]","[0.         0.         0.01180736 0.00721813 0.01164866 0.00638978
 0.00321143 0.         0.00410728 0.00026081 0.01039588 0.00913894
 0.00647564 0.0001258  0.00857065]","[7.33541840e-03 7.23203450e-03 4.97785279e-03 5.97964185e-03
 6.63287785e-03 2.67826777e-05 6.52918685e-03 5.11014071e-03
 6.62609087e-04 7.62607361e-07 3.03373734e-05 5.63659733e-05
 5.63318110e-06 6.33042079e-05 3.66459312e-07]","[0.00000000e+00 1.09689772e-02 1.11459260e-02 4.97663933e-03
 9.87373556e-03 0.00000000e+00 9.23652286e-03 1.14376619e-02
 7.23709758e-03 6.51111631e-03 0.00000000e+00 8.57456929e-03
 1.09277673e-02 1.74609964e-05 9.46567559e-03]","[7.34081731e-03 6.92596591e-03 3.41595840e-03 1.93757694e-03
 6.80760153e-03 1.89059785e-05 4.13379375e-03 5.74577467e-03
 8.71082575e-04 5.70224824e-06 1.68651201e-04 1.43480631e-05
 2.32882414e-06 5.21181362e-06 4.99062840e-07]","[0.         0.         0.0270164  0.02802493 0.         0.
 0.         0.         0.0065763  0.00564866 0.         0.02862726
 0.02219983 0.00526814 0.02880688]","[7.32265832e-03 7.08061677e-03 5.30381424e-03 3.46834297e-03
 6.97826956e-03 1.36101092e-04 2.11674418e-03 1.03733952e-03
 5.40668687e-04 5.47430768e-07 1.03079050e-05 2.33190142e-05
 6.96070935e-06 1.30023532e-05 7.51626819e-07]","[0.         0.01346359 0.01342806 0.00979772 0.00825946 0.0034302
 0.01405297 0.         0.         0.00464208 0.         0.01257523
 0.00640195 0.00136123 0.00795497]","[0.00000000e+00 6.98345130e-03 7.27783654e-03 4.25376450e-03
 7.79661204e-03 4.10427045e-04 3.33433688e-03 2.90399688e-04
 2.58737997e-03 2.59117413e-05 2.71661139e-03 2.69586293e-05
 1.34079153e-05 5.63454275e-05 7.57226863e-08]","[0.         0.         0.         0.05590604 0.         0.
 0.         0.05293197 0.         0.01070504 0.         0.04749017
 0.02197443 0.         0.00135725]","[0.00000000e+00 0.00000000e+00 1.04848936e-02 2.09999605e-04
 1.10959714e-02 4.57992156e-03 1.04958822e-02 1.11569869e-02
 0.00000000e+00 1.60454882e-04 8.15387748e-03 2.51234626e-03
 3.31105508e-03 3.76943977e-05 5.54471598e-06]","[0.         0.         0.         0.00839505 0.02627428 0.01540629
 0.         0.         0.         0.024897   0.01935861 0.01616206
 0.00233745 0.         0.00034853]"
"[0.00733357 0.00721614 0.00449004 0.00310212 0.00163463 0.00687584
 0.00042154 0.00326393 0.00107407 0.00024698 0.00016356 0.00124886
 0.0013363  0.00291911 0.00336735]","[0.00568309 0.00425814 0.         0.01164329 0.         0.01155537
 0.00509782 0.01052441 0.00239837 0.01104044 0.00871437 0.01166867
 0.01184017 0.00173756 0.        ]","[7.32795683e-03 7.06355827e-03 5.81791387e-03 5.59569343e-03
 5.24346384e-03 6.29410185e-03 3.96241278e-04 9.54162827e-04
 4.54458416e-04 3.15492376e-04 9.88212269e-05 6.10426702e-04
 2.57293505e-03 5.45484113e-03 6.46700575e-03]","[6.44066436e-03 1.13325315e-06 2.27190641e-03 3.26644761e-03
 7.39142297e-03 8.13748244e-03 1.81641032e-03 6.40676693e-03
 5.72203692e-04 8.05071928e-03 0.00000000e+00 1.03496177e-03
 8.25342930e-03 6.52153476e-03 9.23730806e-05]","[7.31098619e-03 6.71827052e-03 5.93234167e-03 2.10134815e-03
 1.59750079e-03 5.39590569e-03 4.50393180e-04 4.59885752e-04
 1.23495527e-03 7.07396864e-04 4.49318069e-05 2.72190976e-04
 2.73821527e-03 1.95021487e-03 3.31371186e-03]","[0.01753806 0.01709958 0.01743661 0.01766033 0.         0.00678272
 0.         0.0162851  0.01765581 0.00966576 0.         0.
 0.01767064 0.         0.01138421]","[7.31500912e-03 7.32660732e-03 6.07047008e-03 3.80038423e-03
 6.17192784e-03 6.39038825e-03 2.98196020e-03 5.14432582e-03
 4.33947970e-04 2.05114749e-04 5.16159285e-05 4.62676692e-03
 2.95803415e-03 3.61126255e-03 6.89978003e-03]","[0.01027308 0.01181152 0.         0.00704205 0.         0.01162064
 0.00775936 0.01133424 0.01057271 0.01072918 0.         0.01040306
 0.01170769 0.00528249 0.00517998]","[0.00848387 0.00849392 0.00705044 0.0062391  0.         0.0081365
 0.00159603 0.0022827  0.00284547 0.00190565 0.00316416 0.00041651
 0.00659465 0.00464334 0.00411974]","[0.02225339 0.0222577  0.         0.02145555 0.         0.02157404
 0.00586493 0.         0.02186972 0.         0.         0.01669764
 0.01440444 0.         0.02131703]","[0.00990485 0.00919264 0.00814717 0.00596296 0.         0.0085603
 0.00528921 0.0085153  0.00181153 0.00144815 0.         0.0069183
 0.00063765 0.0012606  0.00333133]","[0.0163602  0.03810285 0.         0.         0.         0.03897791
 0.00798537 0.         0.00534943 0.01156743 0.         0.
 0.         0.0180757  0.        ]"
"[4.29053483e-04 6.28005101e-03 9.21593244e-05 2.60574255e-03
 1.17042010e-03 1.69277155e-03 0.00000000e+00 8.57062899e-04
 1.02647521e-03 6.01698378e-03 6.68965043e-03 5.26515813e-04
 1.26607232e-03 5.36272054e-04 9.83592636e-04]","[0.         0.01713177 0.01015476 0.         0.01542848 0.01039403
 0.         0.01678365 0.01583457 0.01765681 0.01649177 0.00888185
 0.01110619 0.         0.        ]","[0.00118505 0.00391791 0.00043398 0.00715276 0.00114354 0.0011962
 0.         0.00518711 0.0020362  0.00679963 0.00338998 0.00142399
 0.00042807 0.00211212 0.00518532]","[0.         0.         0.00639974 0.01848721 0.01975571 0.01769956
 0.         0.00782586 0.02119956 0.01882888 0.01925455 0.00873913
 0.         0.         0.        ]","[0.0025854  0.00638442 0.00017543 0.00277978 0.00401784 0.00085617
 0.         0.0003387  0.00067389 0.0074225  0.00559492 0.00299141
 0.00133704 0.00097439 0.0010689 ]","[0.         0.02021466 0.01603402 0.01421864 0.01134054 0.01747212
 0.         0.01996714 0.         0.         0.01494058 0.01759461
 0.         0.         0.01314174]","[0.00417269 0.00506198 0.00014349 0.00399063 0.00060321 0.00104452
 0.         0.00093801 0.00122349 0.00811001 0.00604333 0.0046331
 0.00071076 0.00081113 0.00176384]","[0.         0.01381279 0.01703229 0.01423478 0.00568558 0.00815505
 0.         0.01374018 0.01180213 0.01748316 0.00672084 0.01036863
 0.         0.         0.        ]","[0.00475995 0.00858171 0.00015295 0.00883202 0.00048776 0.00136604
 0.         0.00390724 0.00548926 0.00907289 0.00283197 0.00295907
 0.         0.00091025 0.00346929]","[0.         0.         0.00355227 0.         0.00596641 0.00875328
 0.         0.02739687 0.02366379 0.03603828 0.03117855 0.
 0.         0.         0.        ]","[0.01370383 0.01062615 0.00098481 0.0126762  0.00276293 0.00928988
 0.         0.00301912 0.00870541 0.01347765 0.00674825 0.01156222
 0.         0.         0.        ]","[0.         0.         0.00987541 0.         0.01050668 0.01456497
 0.         0.0195096  0.         0.02741168 0.02800306 0.00990785
 0.         0.01635042 0.        ]"
"[5.07210157e-03 7.30184424e-03 7.15747826e-03 1.12425620e-04
 5.60594228e-03 6.58041737e-03 5.13784225e-03 7.07233447e-03
 1.04193860e-03 3.43355068e-03 8.63438452e-04 4.00583823e-06
 1.51180548e-03 5.53496922e-03 2.24413548e-04]","[0.01341918 0.         0.01763831 0.         0.01051873 0.
 0.01739627 0.01768252 0.         0.01683268 0.01531413 0.00220597
 0.         0.01507727 0.00826985]","[4.14098586e-03 7.06229639e-03 7.05030428e-03 1.25072130e-04
 6.52154330e-03 1.98616433e-03 4.08949618e-03 6.77544800e-03
 2.14184224e-03 4.96613780e-03 5.25923121e-04 5.56202425e-07
 1.02123240e-03 5.67846940e-03 5.28790121e-04]","[0.0272503  0.02873071 0.02912039 0.         0.01230734 0.
 0.         0.         0.         0.00275022 0.         0.00373666
 0.         0.02023209 0.02680795]","[6.89747194e-03 0.00000000e+00 8.33475020e-03 5.99389679e-05
 5.62163316e-03 4.32480840e-03 5.60075544e-03 7.89305423e-03
 2.49485240e-03 3.77973229e-03 5.76988311e-03 2.94212892e-05
 2.24644478e-03 7.44639056e-03 1.49372492e-04]","[0.02215101 0.         0.02194976 0.         0.00369029 0.
 0.         0.         0.01560686 0.01739993 0.0083431  0.0033018
 0.         0.00463969 0.02136611]","[3.19921458e-03 0.00000000e+00 7.76781516e-03 8.39014163e-05
 7.48400333e-03 5.13623999e-03 8.15485281e-03 8.38838430e-03
 8.82078569e-04 2.37968091e-03 6.76871540e-03 4.15849156e-06
 6.26268602e-04 7.72443286e-03 5.33598880e-04]","[0.01718957 0.01747073 0.01647461 0.         0.01637606 0.
 0.         0.         0.         0.01540279 0.0122294  0.00377993
 0.01252804 0.01475176 0.01747739]","[0.01158575 0.         0.01163504 0.         0.01184021 0.01034681
 0.         0.01142778 0.00732462 0.00894961 0.0101204  0.00231879
 0.01123105 0.01020779 0.00552615]","[0.02194685 0.         0.02211507 0.         0.02226602 0.
 0.         0.0213176  0.         0.0222675  0.01913279 0.00084961
 0.         0.00906006 0.00725595]","[0.01394341 0.         0.01422415 0.         0.01367339 0.
 0.         0.01417654 0.00345903 0.00847788 0.01146357 0.00524494
 0.01290856 0.01360125 0.00022953]","[0.00432141 0.         0.02229949 0.         0.02161341 0.
 0.         0.02214085 0.         0.         0.01478362 0.00114977
 0.02118287 0.00630872 0.01993213]"
"[4.90541552e-03 5.68826205e-03 6.23486629e-03 1.96520403e-06
 8.66156102e-04 6.59784148e-03 9.09800092e-05 4.70813188e-05
 6.70750837e-03 7.32553921e-03 6.79529295e-03 2.94873254e-03
 4.66424901e-03 1.13900842e-03 3.42326816e-04]","[0.00403416 0.01435274 0.01143135 0.00140469 0.01137337 0.
 0.00232338 0.00341771 0.01031505 0.0074238  0.01421766 0.
 0.         0.00118164 0.        ]","[2.93748335e-03 6.30850482e-03 6.38173929e-03 2.84376867e-06
 1.07059485e-03 7.12479786e-03 1.27072409e-04 3.03196237e-05
 1.81571110e-03 7.32712585e-03 5.90734599e-03 3.99119363e-03
 4.93919046e-03 1.54160139e-03 4.31355239e-04]","[0.00910512 0.         0.         0.00074531 0.01013296 0.01422391
 0.00794951 0.00762653 0.00919737 0.00864406 0.01358115 0.
 0.01396309 0.00408673 0.        ]","[3.46470223e-03 9.92192297e-03 9.04058094e-03 1.92460158e-06
 2.31528690e-03 0.00000000e+00 9.38570220e-05 1.90573811e-03
 3.95170760e-03 9.98250385e-03 9.60456726e-03 0.00000000e+00
 9.83147769e-03 9.11369698e-03 2.32620078e-04]","[0.01643433 0.01146624 0.01485073 0.00340141 0.01229188 0.
 0.00060643 0.         0.00985211 0.         0.01749692 0.
 0.         0.00771126 0.0136838 ]","[5.50969937e-03 6.33143715e-03 7.26497828e-03 5.77343104e-06
 2.27669591e-03 8.50951543e-03 3.76596407e-04 6.73581642e-04
 4.67718851e-03 8.24350045e-03 7.81012415e-03 0.00000000e+00
 7.36033499e-03 6.02858811e-04 9.56897185e-04]","[0.0158195  0.         0.01555096 0.01535233 0.01575943 0.0175577
 0.00060471 0.0111328  0.01562725 0.         0.01396381 0.
 0.         0.00345663 0.        ]","[4.94897008e-04 8.38703804e-03 5.69547828e-03 2.25376159e-05
 1.63552466e-03 0.00000000e+00 1.98588688e-03 7.56252954e-03
 7.67752727e-03 9.90048119e-03 8.61644395e-03 0.00000000e+00
 8.62053389e-03 2.55838091e-03 3.29012912e-05]","[0.02812119 0.         0.         0.00099543 0.01014365 0.
 0.00127752 0.         0.00922436 0.02738615 0.02325184 0.
 0.         0.01100294 0.        ]","[0.00434155 0.00963588 0.01065474 0.00087319 0.00428321 0.
 0.00052164 0.00092649 0.00916914 0.01174818 0.01052535 0.
 0.         0.00823553 0.00027182]","[0.         0.04229921 0.         0.04166233 0.         0.
 0.00626796 0.         0.04624631 0.         0.0570039  0.
 0.         0.         0.        ]"
"[1.47454638e-03 1.36557565e-06 3.44310140e-03 6.80824072e-03
 1.14241867e-04 4.91759195e-06 5.06566717e-03 1.67935721e-03
 8.18918205e-06 4.46675132e-03 3.85314292e-03 3.08944276e-04
 1.83480420e-03 7.28687258e-03 1.17573212e-03]","[0.00454602 0.         0.00766777 0.01434624 0.0089125  0.00119111
 0.         0.01321504 0.01157733 0.00980857 0.00365164 0.01302742
 0.         0.         0.01382032]","[1.36879088e-03 2.22412051e-06 7.18106150e-03 7.27342678e-03
 1.27368394e-03 1.95572603e-06 6.50554588e-03 1.15104589e-03
 6.90018409e-06 1.91309832e-03 3.68390908e-03 4.90234085e-04
 6.93034282e-03 7.33530697e-03 5.26326306e-03]","[0.01653843 0.         0.01131499 0.         0.01963115 0.00427029
 0.         0.02051981 0.01505617 0.         0.0147704  0.02015267
 0.         0.         0.02209331]","[7.32546751e-04 5.17713341e-06 6.33553117e-03 5.62393690e-03
 5.38097310e-05 1.27427190e-05 7.21473203e-03 2.10631471e-03
 1.49460147e-05 1.76323666e-03 2.40479964e-03 1.04878134e-03
 5.16650598e-03 7.13182279e-03 6.00447575e-04]","[0.01672567 0.         0.         0.01712495 0.00910065 0.00209014
 0.         0.00647152 0.00176008 0.01537676 0.         0.01709324
 0.         0.01748466 0.01253342]","[3.67603980e-04 7.12843721e-06 3.77818055e-03 6.77938744e-03
 2.08821783e-04 1.90777673e-06 5.99831838e-03 2.14507856e-03
 4.06525492e-05 5.75378203e-03 1.38081079e-03 1.37048145e-03
 2.09757166e-03 7.28367218e-03 1.91612748e-03]","[0.01314375 0.01068987 0.         0.01708085 0.01475328 0.00868679
 0.         0.01442354 0.01013787 0.01434038 0.         0.01660514
 0.01651559 0.         0.        ]","[2.38375933e-03 1.78141411e-04 4.95519132e-03 1.17976146e-02
 9.29396760e-03 1.04834209e-03 0.00000000e+00 8.40369699e-03
 5.08366338e-04 6.90725221e-03 0.00000000e+00 8.40603508e-03
 1.04849784e-02 0.00000000e+00 3.14483674e-05]","[0.         0.         0.         0.         0.         0.01379487
 0.         0.00075002 0.02873322 0.         0.01372529 0.
 0.05380476 0.         0.0207843 ]","[0.0144982  0.         0.01619252 0.01745743 0.01516548 0.00212566
 0.         0.00591352 0.00678619 0.00934267 0.         0.00415762
 0.         0.         0.00569007]","[0.         0.         0.08632312 0.         0.         0.03938054
 0.         0.03693985 0.0505305  0.         0.         0.
 0.         0.         0.0763983 ]"
"[6.35339155e-06 5.78145405e-03 9.80968066e-06 8.05336979e-04
 3.99266338e-04 7.29769213e-03 7.27759392e-03 3.07237673e-03
 5.58770301e-03 1.79197537e-06 7.26113858e-03 5.04035696e-03
 5.20207831e-05 1.88603685e-06 2.37572082e-03]","[0.00045049 0.00977692 0.00441749 0.0058682  0.         0.00959493
 0.00606462 0.00805705 0.00792541 0.00233141 0.         0.00031009
 0.0046929  0.00260383 0.00468661]","[2.68982174e-06 5.41333648e-03 6.02776666e-06 2.24118166e-04
 1.05139339e-03 5.35104439e-03 7.07811884e-03 2.59613686e-03
 6.01281315e-03 3.84064120e-06 7.15376734e-03 4.58089918e-03
 3.20369142e-05 4.82096765e-07 4.27040004e-03]","[0.01880597 0.02696963 0.02857537 0.00598524 0.         0.
 0.02655016 0.         0.         0.         0.02732069 0.02743291
 0.00460281 0.         0.        ]","[5.29197025e-05 6.61034308e-03 6.48814746e-03 1.22065345e-03
 2.68900808e-03 5.45780053e-03 8.23411012e-03 2.66938820e-03
 7.28891204e-03 1.31509997e-04 0.00000000e+00 6.52161884e-03
 6.66936996e-04 2.52362738e-04 6.42981878e-03]","[0.01549372 0.01508765 0.00293016 0.01509817 0.         0.02147594
 0.02079937 0.         0.         0.         0.         0.01595304
 0.02184376 0.00498276 0.        ]","[8.44208625e-05 3.20738340e-03 2.10923640e-04 3.71877146e-04
 1.85522751e-03 7.51329181e-03 8.47227180e-03 7.34680208e-03
 5.02759307e-03 1.06232292e-04 0.00000000e+00 7.14918983e-03
 1.24014991e-04 2.06049345e-06 3.89292189e-03]","[0.01736837 0.0103715  0.         0.00901836 0.01419134 0.01707152
 0.01704934 0.01482153 0.         0.01029142 0.         0.01640146
 0.01396193 0.         0.        ]","[1.19526592e-03 7.32519383e-03 4.00171914e-03 7.71444389e-03
 4.10347084e-03 7.52756126e-03 9.77174138e-03 9.28459748e-03
 0.00000000e+00 3.27865037e-03 0.00000000e+00 9.07644218e-03
 6.39605879e-04 3.10749405e-05 7.21410203e-03]","[0.         0.02181881 0.         0.01987077 0.         0.
 0.03742508 0.         0.         0.         0.         0.04969574
 0.05291404 0.00223958 0.        ]","[0.00529584 0.01028513 0.01132098 0.00272032 0.00612899 0.00928929
 0.01174539 0.007244   0.         0.00196392 0.         0.01060923
 0.00292793 0.00012395 0.        ]","[0.         0.02283794 0.08020165 0.04752751 0.         0.
 0.         0.         0.         0.         0.         0.
 0.08258711 0.02038846 0.        ]"
