TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10.0,TpsRandomic + IndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15.0,TpsRandomic + IndividualEstimated_INR + -15.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10.0,TpsRandomic + CumulativeIndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15.0,TpsRandomic + CumulativeIndividualEstimated_INR + -15.0
"[0.         0.00487391 0.00010047 0.00536257 0.00674664 0.00816959
 0.00096452 0.00493178 0.00773155 0.00032607 0.00837081 0.00762005
 0.0083776  0.00086545 0.00820942]","[0.         0.01766871 0.00863197 0.00646678 0.01753143 0.
 0.         0.00835914 0.         0.00436055 0.         0.01434163
 0.01734065 0.01410668 0.01639103]","[0.00000000e+00 3.66492794e-03 9.87419214e-04 1.08040229e-03
 1.70177960e-03 8.36829249e-03 1.37708437e-04 2.99145707e-03
 7.97170260e-03 1.22709103e-03 8.42586252e-03 7.05010678e-03
 8.49913545e-03 8.14580629e-05 5.44603495e-03]","[0.         0.01723391 0.0040851  0.         0.01700592 0.
 0.         0.01858083 0.01304749 0.         0.         0.01769591
 0.02217219 0.00465987 0.02020368]","[0.         0.002591   0.00074859 0.00149234 0.00186988 0.0085068
 0.00089514 0.00347419 0.00698928 0.00024402 0.00826522 0.00626688
 0.00849468 0.0001186  0.00567572]","[0.         0.01841849 0.         0.02544622 0.         0.
 0.         0.         0.01380264 0.00317146 0.         0.
 0.         0.         0.08475863]","[0.         0.00038518 0.00033921 0.00111597 0.00185116 0.
 0.00072575 0.00712294 0.00863562 0.0004574  0.0096051  0.00962591
 0.0099551  0.00010837 0.00910447]","[0.         0.02149459 0.0174886  0.01418765 0.02225482 0.02224702
 0.         0.         0.         0.00823697 0.         0.01956603
 0.         0.01132935 0.01990071]","[0.         0.00911803 0.00020507 0.00704527 0.01040851 0.
 0.         0.0083069  0.01184438 0.00266843 0.01143663 0.00904359
 0.01182359 0.00175547 0.00888433]","[0.         0.         0.         0.         0.05441065 0.
 0.00528508 0.         0.         0.         0.         0.
 0.         0.         0.07179197]","[0.         0.00295961 0.01086762 0.0082283  0.00964597 0.
 0.         0.01101984 0.01323847 0.00177716 0.         0.01422782
 0.01435312 0.00381686 0.01086253]","[0.         0.         0.08273913 0.         0.         0.
 0.         0.         0.04430796 0.         0.         0.11523932
 0.         0.         0.04127151]"
"[4.54253810e-03 2.62875796e-03 1.52382804e-07 1.44329352e-04
 4.94072026e-05 5.99372795e-03 2.12070615e-03 2.27729559e-04
 7.94308218e-04 3.13840281e-03 3.39462941e-04 2.15249732e-07
 5.74165615e-03 6.05823940e-04 1.56216328e-06]","[0.0148328  0.         0.01674555 0.00484042 0.         0.01732314
 0.0134544  0.00114979 0.         0.         0.01720671 0.01667951
 0.01769557 0.         0.00120276]","[5.71370958e-03 0.00000000e+00 2.64037257e-07 1.08220493e-04
 3.30324951e-03 7.16182853e-03 5.54235348e-03 1.06877943e-03
 5.43585994e-03 1.44980320e-03 6.46813095e-04 2.22340316e-05
 8.33562643e-03 4.43989635e-05 3.39679216e-04]","[0.01657818 0.         0.01753054 0.01766449 0.         0.01755756
 0.00938961 0.00160386 0.         0.01205022 0.         0.01667837
 0.0176915  0.         0.00413101]","[8.09668731e-03 0.00000000e+00 1.02857558e-06 1.62340183e-04
 2.77358013e-04 2.90814728e-03 5.19052642e-03 4.68198996e-05
 1.08590609e-03 7.61162255e-03 8.10996571e-03 2.07851685e-04
 8.46565196e-03 6.68548509e-05 1.87496195e-05]","[0.01621918 0.         0.02779351 0.02569471 0.         0.01237269
 0.00375058 0.00465926 0.         0.         0.02347014 0.02497252
 0.         0.         0.        ]","[5.42004673e-03 0.00000000e+00 1.52069729e-07 2.04909172e-04
 4.19191730e-04 6.63449260e-03 5.25049153e-03 9.47132231e-05
 8.17474599e-04 3.08104346e-03 2.52040438e-03 1.90943744e-05
 8.21070143e-03 8.46396176e-05 2.88000476e-05]","[0.0166175  0.         0.00230882 0.01372851 0.00819921 0.01643749
 0.01276701 0.01672544 0.01042956 0.         0.         0.00613954
 0.01754493 0.         0.        ]","[7.40303668e-03 0.00000000e+00 2.57620666e-07 1.91455380e-04
 8.47285659e-03 6.11200710e-03 4.53447851e-03 1.29974634e-04
 1.15825631e-03 3.81345416e-03 1.08706313e-03 7.22802271e-05
 8.33133525e-03 7.90082426e-05 7.95772377e-03]","[0.03798249 0.         0.03742857 0.01213516 0.         0.03887899
 0.02193647 0.00215969 0.0384603  0.         0.         0.
 0.         0.         0.        ]","[7.98500547e-05 0.00000000e+00 1.00225308e-05 3.68587201e-03
 5.74983873e-03 8.89819767e-03 8.28840227e-03 6.92826935e-04
 0.00000000e+00 1.03734056e-02 9.62995355e-03 1.29009238e-03
 1.17765556e-02 0.00000000e+00 4.73628644e-05]","[0.01632348 0.         0.01571804 0.00871646 0.01598375 0.00616157
 0.00248646 0.00354895 0.         0.00530783 0.         0.
 0.01768672 0.         0.00049836]"
"[4.67205384e-03 4.56677256e-05 6.37468309e-04 5.82450793e-03
 2.26531825e-05 7.34167462e-03 1.31776793e-03 7.27845637e-03
 3.51113737e-03 7.25983522e-05 3.82911074e-03 7.10758692e-03
 1.02280107e-05 3.48867019e-03 2.30505494e-04]","[0.         0.00929304 0.00307485 0.         0.00115491 0.00614344
 0.00954283 0.0117754  0.01153211 0.00211961 0.00823724 0.00970758
 0.00025874 0.         0.00970239]","[6.79629543e-04 6.31906942e-06 2.63341761e-04 6.94270399e-03
 3.22067301e-05 7.25730207e-03 6.11873119e-04 6.75468796e-03
 2.07659982e-03 6.88816009e-05 4.38661703e-04 5.92282040e-03
 4.00538221e-06 5.90280501e-03 3.23840333e-04]","[0.006741   0.01139052 0.01162705 0.         0.         0.01103368
 0.00735849 0.0114148  0.00800734 0.01046059 0.00566217 0.01163705
 0.         0.00635476 0.00737889]","[6.03596304e-03 8.85587879e-06 2.26000145e-03 5.22367842e-03
 4.55652813e-05 7.23886994e-03 5.19051032e-03 6.50744999e-03
 6.91049621e-03 5.69891553e-05 5.44917077e-03 6.27032482e-03
 4.75953613e-05 2.70006518e-03 4.50706702e-04]","[0.         0.01534106 0.01414705 0.00632195 0.         0.0290633
 0.00490833 0.01690753 0.         0.00255863 0.         0.
 0.00145517 0.         0.        ]","[6.97427638e-03 3.90665527e-05 1.02340792e-03 6.52653748e-03
 4.95535199e-04 6.90639301e-03 3.09914334e-03 6.73913929e-03
 5.02451776e-03 1.44732103e-04 6.76905448e-03 7.06921089e-03
 1.74071183e-05 4.79965101e-03 3.16567202e-03]","[0.01864701 0.00274793 0.00977263 0.         0.         0.02212718
 0.01086906 0.01690178 0.         0.00683676 0.01940519 0.02162365
 0.         0.         0.        ]","[6.60917939e-03 1.76866237e-04 1.17937837e-03 4.82709365e-03
 3.47988404e-03 8.33927883e-03 1.17323378e-03 8.27335342e-03
 8.06408210e-03 2.16118157e-03 5.83773769e-03 8.32096502e-03
 4.67700842e-05 0.00000000e+00 1.00160467e-03]","[0.01333384 0.02190843 0.01904221 0.02146762 0.00147536 0.02224275
 0.00464204 0.         0.         0.02120434 0.         0.02051115
 0.         0.         0.        ]","[0.         0.00660349 0.00120331 0.01143698 0.00985356 0.01183434
 0.01142101 0.01140138 0.         0.00780235 0.00895286 0.00957709
 0.0042777  0.         0.00267855]","[0.         0.04644046 0.04584178 0.         0.         0.
 0.         0.05392244 0.03204664 0.00631659 0.         0.05626883
 0.         0.         0.        ]"
"[3.75586704e-04 6.12157089e-03 3.79771039e-04 2.98624091e-03
 3.35809309e-03 8.50497841e-03 1.77556102e-05 0.00000000e+00
 4.25372067e-03 5.77816544e-04 8.21062294e-03 7.09021308e-03
 8.35082075e-03 5.87969887e-06 9.61367921e-04]","[0.01126373 0.         0.01707629 0.         0.         0.
 0.01929111 0.         0.02886361 0.         0.02503416 0.02498153
 0.02912168 0.00996706 0.        ]","[6.26694890e-04 8.43013344e-03 6.88279824e-05 3.05550094e-03
 1.88626882e-03 8.47318935e-03 3.01555884e-05 0.00000000e+00
 3.97886572e-03 2.57901353e-03 6.85202077e-03 7.62386518e-03
 8.50745300e-03 1.02714389e-06 9.92098307e-04]","[2.84732951e-03 9.92898396e-03 2.60152851e-03 1.13920551e-02
 0.00000000e+00 1.12796437e-02 8.62425793e-03 0.00000000e+00
 1.02676304e-02 0.00000000e+00 1.17891047e-02 1.08745690e-02
 1.17681969e-02 7.79944464e-05 2.94396316e-03]","[6.04126006e-03 8.98891352e-03 1.14717645e-04 0.00000000e+00
 3.31617596e-03 9.92896143e-03 3.73500654e-05 0.00000000e+00
 7.24883535e-03 6.97537824e-03 8.85251336e-03 6.76016934e-03
 9.96676644e-03 4.94860582e-06 3.08350010e-03]","[0.015877   0.         0.02027051 0.         0.         0.02214006
 0.02173973 0.         0.01447238 0.01863053 0.01964813 0.
 0.02232316 0.00243476 0.        ]","[0.00580961 0.0110669  0.00105747 0.         0.01018557 0.01185229
 0.00014374 0.         0.01051521 0.00749255 0.01177018 0.
 0.01175007 0.00023374 0.00557631]","[0.00928308 0.01764795 0.01067652 0.         0.         0.
 0.01552196 0.         0.02225708 0.00969707 0.02041075 0.
 0.01652525 0.00690888 0.        ]","[0.00659534 0.01427933 0.0055914  0.         0.         0.01435333
 0.00261227 0.         0.01214383 0.00786623 0.01424788 0.
 0.01414638 0.00872444 0.01276145]","[0.00960216 0.         0.0093178  0.         0.         0.02909707
 0.01021231 0.         0.028857   0.00470309 0.01308959 0.
 0.02565503 0.         0.        ]","[0.00743182 0.         0.00774281 0.         0.         0.
 0.01704521 0.         0.01879732 0.02009987 0.02225603 0.
 0.02199244 0.00723614 0.02224936]","[0.02040825 0.         0.0028042  0.         0.         0.
 0.00101502 0.         0.03940645 0.         0.03867625 0.
 0.03944436 0.00759433 0.        ]"
"[4.63549618e-04 2.11921723e-03 6.04969930e-04 1.15230466e-03
 2.19198756e-05 6.88162440e-03 4.98658924e-03 6.60876548e-03
 7.23979156e-03 3.36979988e-03 3.18811320e-07 6.29941481e-03
 2.19898486e-03 1.32123636e-03 8.93689327e-05]","[1.16490741e-02 1.17644325e-02 0.00000000e+00 1.54547379e-03
 9.31304133e-03 1.08053778e-02 1.06634759e-02 0.00000000e+00
 1.18132990e-02 5.29324916e-03 8.32466356e-03 0.00000000e+00
 1.10643412e-02 7.31216336e-05 1.58933526e-03]","[5.75165439e-04 2.27105129e-03 0.00000000e+00 2.91009840e-04
 1.42284789e-04 8.38034318e-03 2.64883566e-03 6.72636982e-03
 8.35884105e-03 7.57430724e-03 7.39259547e-05 1.44228344e-03
 6.92095769e-03 2.01662895e-04 4.48651624e-04]","[0.00980749 0.00630987 0.         0.00094069 0.00445816 0.01186562
 0.         0.01082492 0.01186112 0.00711807 0.00978682 0.
 0.00953993 0.00015136 0.0064354 ]","[2.04117775e-04 7.44746220e-04 0.00000000e+00 1.02596492e-04
 1.72049489e-04 8.32047533e-03 2.41684613e-03 7.93806714e-03
 8.44410752e-03 2.20259457e-03 1.12184390e-05 5.50654898e-04
 4.54622956e-03 7.05972346e-05 5.38410650e-04]","[0.00883253 0.01767953 0.         0.01536218 0.00845883 0.
 0.         0.         0.01760163 0.01580189 0.00153113 0.
 0.01556969 0.00764529 0.01540037]","[4.30154952e-04 3.12425358e-03 0.00000000e+00 3.40809369e-05
 2.05693711e-04 8.31181433e-03 1.89347121e-03 7.80165869e-03
 8.42158431e-03 3.57321363e-03 7.35298978e-05 1.10918625e-03
 7.43871326e-03 2.33925628e-05 6.38207571e-04]","[0.01255195 0.01752269 0.         0.0037915  0.0163276  0.
 0.         0.         0.01769076 0.01523528 0.00910987 0.
 0.01717561 0.00136985 0.00332279]","[7.67001021e-04 1.19006971e-03 0.00000000e+00 4.98500694e-04
 8.16181456e-05 7.43041453e-03 3.43627029e-03 7.42783207e-03
 8.30378732e-03 1.60129488e-03 1.27540442e-05 1.85568949e-03
 5.61986910e-03 3.48150077e-04 2.61452190e-04]","[0.         0.         0.         0.01645409 0.01394676 0.02176705
 0.         0.01888932 0.02229811 0.         0.01952775 0.
 0.01953925 0.00579048 0.00556148]","[6.77902837e-03 9.24111354e-03 0.00000000e+00 1.97060878e-03
 3.31552065e-04 1.17856828e-02 0.00000000e+00 1.14152621e-02
 1.17975365e-02 5.59539229e-03 2.49824258e-04 0.00000000e+00
 1.06054073e-02 4.28282911e-05 6.54309973e-05]","[0.         0.         0.         0.01270235 0.00069445 0.
 0.         0.         0.         0.         0.00166377 0.
 0.04510786 0.0081324  0.01702839]"
"[7.15070761e-03 3.69864724e-06 2.31467213e-04 5.41625464e-03
 3.74933398e-05 5.62594195e-05 3.10350575e-04 3.37949994e-03
 7.26133079e-03 2.10761797e-05 3.17555840e-03 2.62953307e-03
 4.43391628e-07 7.23462853e-03 7.15727758e-03]","[0.00000000e+00 3.81637485e-05 1.80049539e-03 8.21461361e-03
 8.14145783e-03 3.06323308e-03 1.18688215e-02 5.76870866e-03
 1.18520865e-02 1.05012156e-03 0.00000000e+00 1.14288467e-02
 0.00000000e+00 1.13070883e-02 1.06824979e-02]","[8.46653948e-03 2.56977260e-06 8.50974798e-04 4.20170468e-04
 2.54410690e-03 1.00682526e-03 7.40258538e-03 6.54983101e-03
 8.24283524e-03 9.02887012e-04 0.00000000e+00 3.09199355e-04
 1.02797381e-04 4.26332135e-03 8.19234185e-03]","[0.         0.01311817 0.01625902 0.01677999 0.         0.01725906
 0.01747498 0.01598882 0.0176752  0.         0.         0.01573818
 0.00417609 0.         0.01757924]","[8.47383348e-03 6.19978615e-06 4.64606806e-03 6.26324959e-05
 2.17576019e-03 2.43395882e-04 3.13989172e-03 7.54522826e-03
 7.85919322e-03 3.18287520e-04 0.00000000e+00 3.66798969e-04
 2.43950959e-04 7.79375207e-03 6.68671205e-03]","[0.00000000e+00 6.46006359e-06 1.24551828e-02 1.39928466e-02
 1.32087534e-02 1.17997265e-02 0.00000000e+00 1.39548042e-02
 1.40367911e-02 1.11270094e-02 0.00000000e+00 1.14387648e-02
 0.00000000e+00 1.32834324e-02 7.63655877e-03]","[8.39634408e-03 3.99671296e-05 5.94906109e-03 1.46409957e-03
 8.41702418e-03 9.41101414e-04 1.66894642e-03 4.74889956e-03
 8.45264735e-03 1.12905726e-04 0.00000000e+00 1.22446124e-04
 1.36481009e-03 8.12415702e-03 8.42941579e-03]","[0.00000000e+00 3.52717644e-07 1.41062059e-02 1.31707604e-02
 1.18020231e-02 7.23302822e-03 9.81690930e-03 8.86498074e-03
 1.43215984e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.46164541e-03 1.42605988e-02 1.37918946e-02]","[8.46856561e-03 3.74131863e-05 1.94728300e-03 7.48621375e-04
 3.19300533e-03 1.43908305e-03 2.15676001e-03 5.65613634e-03
 8.17554031e-03 1.45244983e-04 0.00000000e+00 3.23310577e-04
 1.29050207e-03 6.19859006e-03 8.33661517e-03]","[0.         0.01929239 0.01680937 0.0260766  0.         0.
 0.01537567 0.02732481 0.02895473 0.         0.         0.
 0.         0.02147753 0.0279972 ]","[9.97980331e-03 4.90807475e-06 1.29473968e-03 5.82892377e-03
 4.16219998e-03 2.58924075e-03 1.69565177e-03 8.91109771e-03
 9.97909919e-03 7.86239269e-04 0.00000000e+00 3.25939099e-03
 4.48661368e-04 0.00000000e+00 8.42824766e-03]","[0.         0.00937245 0.03664829 0.00946078 0.02637983 0.
 0.02545098 0.01811409 0.         0.         0.         0.
 0.         0.         0.02762809]"
"[0.         0.0118592  0.00013928 0.         0.00093729 0.
 0.00270455 0.00103059 0.00648734 0.01151889 0.01183287 0.0118584
 0.00038887 0.01162623 0.00564616]","[0.         0.         0.01286072 0.         0.00869571 0.
 0.01725615 0.01158425 0.0152739  0.01221545 0.01745551 0.01728938
 0.00111482 0.         0.01331445]","[0.         0.01181161 0.00024426 0.         0.00024021 0.
 0.00806233 0.00481843 0.00643164 0.00774895 0.01185406 0.01181248
 0.00049021 0.01089583 0.00731476]","[0.         0.         0.00942813 0.         0.00532247 0.
 0.02224588 0.00153201 0.00815281 0.02062601 0.01745053 0.02127579
 0.00337686 0.         0.        ]","[0.00000000e+00 1.17280302e-02 8.17104045e-05 0.00000000e+00
 1.96778502e-03 0.00000000e+00 6.70287557e-04 7.09511684e-03
 5.89716245e-03 1.06784125e-02 1.18587579e-02 1.18631658e-02
 5.41732592e-04 9.80225819e-03 4.10958459e-03]","[0.         0.02190381 0.01518438 0.         0.01094291 0.
 0.02172792 0.0215076  0.02156125 0.02061556 0.0223284  0.02229823
 0.         0.         0.        ]","[0.         0.01175375 0.00022087 0.         0.00085993 0.
 0.00193563 0.00151078 0.00871721 0.01144682 0.01181958 0.01172088
 0.00355798 0.0101162  0.00702304]","[0.         0.         0.0063383  0.         0.01776924 0.
 0.00568159 0.0218024  0.0187554  0.01828215 0.02221155 0.01446139
 0.         0.02125857 0.        ]","[0.         0.0116035  0.00035428 0.         0.00191352 0.
 0.00159307 0.00841008 0.00920456 0.01077336 0.01186031 0.01186994
 0.00108294 0.00850723 0.00832874]","[0.         0.         0.00755471 0.         0.01738977 0.
 0.01734258 0.01274286 0.00961708 0.01272596 0.01759615 0.01549354
 0.00233531 0.         0.01582833]","[0.         0.         0.00710658 0.         0.00129437 0.
 0.01475369 0.00329169 0.01552737 0.01545176 0.01756708 0.01769425
 0.00231709 0.         0.01097015]","[0.         0.         0.         0.         0.04752869 0.
 0.         0.03436796 0.03615681 0.01540928 0.05643878 0.05423841
 0.         0.         0.        ]"
"[8.49916833e-06 5.80673355e-03 7.81178716e-03 5.54354780e-04
 8.50125428e-03 8.10350844e-03 1.42919664e-04 7.09063105e-03
 4.09628579e-06 3.97197768e-04 4.31077900e-03 8.19446077e-03
 5.06524239e-03 0.00000000e+00 8.39019388e-03]","[0.01187344 0.00418689 0.01170254 0.         0.01186127 0.0117858
 0.00159183 0.00590798 0.00399231 0.01059986 0.01184074 0.01152222
 0.00791422 0.         0.        ]","[5.34325701e-05 3.64116792e-04 7.61687580e-03 5.73759318e-04
 8.46245774e-03 7.32497270e-03 1.60185383e-04 7.35165693e-03
 1.48844996e-06 7.24099929e-03 7.37447266e-03 2.97755456e-03
 4.49830027e-03 0.00000000e+00 8.39452239e-03]","[0.01760991 0.01599544 0.01643283 0.         0.01765968 0.
 0.00249818 0.01366818 0.01470857 0.01668121 0.         0.01634955
 0.01723594 0.         0.        ]","[1.64654281e-03 3.98478121e-05 5.99900599e-03 5.46364259e-03
 9.96851019e-03 0.00000000e+00 1.43975063e-03 8.81065957e-03
 1.44376957e-04 1.68097585e-03 4.54905146e-03 3.16033467e-03
 9.85540506e-03 0.00000000e+00 7.82755732e-03]","[0.0206275  0.         0.01649105 0.02184663 0.02233547 0.
 0.         0.02019136 0.01740189 0.0175592  0.         0.01732403
 0.0218667  0.         0.        ]","[1.60482855e-05 5.65679770e-04 7.28174072e-03 4.44295747e-04
 8.49589933e-03 8.22673437e-03 1.96888648e-03 5.93661580e-03
 1.08413267e-06 7.24080961e-04 5.61587266e-03 3.92830486e-03
 3.72851563e-03 0.00000000e+00 8.35862814e-03]","[0.01618884 0.0216723  0.02175934 0.         0.         0.
 0.         0.01754797 0.01224812 0.01861811 0.         0.02202451
 0.02061315 0.         0.02171946]","[1.09355865e-03 7.67865742e-06 7.91031817e-03 5.01345325e-03
 9.98103619e-03 0.00000000e+00 6.07391646e-04 7.87471350e-03
 1.96829492e-04 8.49168896e-03 6.07798491e-03 2.23523277e-03
 9.34857762e-03 0.00000000e+00 9.00499663e-03]","[0.         0.         0.         0.03881441 0.03947596 0.
 0.         0.00764388 0.0291093  0.02832365 0.         0.02936992
 0.03446318 0.         0.        ]","[2.14054841e-03 3.09845422e-05 4.23522420e-03 1.10291697e-02
 1.18697186e-02 0.00000000e+00 6.05907898e-04 1.11021007e-02
 3.76364843e-03 1.07374624e-02 7.80374345e-04 2.65962809e-03
 1.16268368e-02 0.00000000e+00 0.00000000e+00]","[0.         0.         0.03834801 0.         0.         0.
 0.         0.02338341 0.00271231 0.03685201 0.03156097 0.03796712
 0.03934683 0.         0.        ]"
"[1.78140227e-03 8.43763873e-03 2.39619655e-03 2.08800279e-05
 6.31046366e-03 0.00000000e+00 3.77657435e-03 7.67739639e-03
 8.35480429e-03 8.20653576e-03 2.45895473e-03 5.17320054e-03
 1.48113747e-03 7.09175369e-03 8.49230377e-03]","[0.         0.00955804 0.00018604 0.00279127 0.00959814 0.
 0.00847996 0.00810315 0.00996599 0.00983142 0.00320989 0.00339586
 0.00044707 0.00903354 0.00997488]","[1.59367297e-03 9.91981022e-03 2.88850387e-05 9.80402323e-03
 3.69582671e-03 0.00000000e+00 9.14778476e-03 6.61282140e-03
 0.00000000e+00 7.95583311e-04 9.21625426e-03 9.31660571e-03
 6.14595041e-04 9.82044097e-03 9.95465246e-03]","[0.01618076 0.         0.01589857 0.01228306 0.         0.
 0.01768054 0.01394025 0.         0.01619077 0.         0.01181602
 0.01161604 0.01757771 0.01767545]","[1.83493523e-03 9.05380863e-03 5.17593781e-05 5.30434098e-03
 5.32857752e-03 0.00000000e+00 7.35712654e-03 6.34029291e-03
 0.00000000e+00 2.10805611e-03 6.20211756e-03 9.76343825e-03
 7.20365909e-04 7.89730361e-03 9.96767767e-03]","[0.02257661 0.         0.         0.         0.         0.
 0.03943975 0.02201689 0.         0.03452815 0.         0.
 0.01675232 0.03701662 0.03942665]","[0.00891957 0.00972909 0.00015076 0.005813   0.00708516 0.
 0.0089946  0.00969649 0.         0.00441261 0.00702568 0.00988768
 0.00741988 0.00935362 0.0099785 ]","[0.02170042 0.         0.0236041  0.         0.01854799 0.
 0.03875761 0.0340034  0.         0.02947275 0.         0.
 0.         0.03745161 0.        ]","[0.00214204 0.00844656 0.00394845 0.00492772 0.00868202 0.
 0.01150939 0.00643816 0.         0.00092858 0.         0.00980481
 0.0071134  0.01149401 0.01185694]","[0.         0.08398632 0.04295874 0.         0.         0.
 0.08735535 0.05724089 0.         0.         0.         0.
 0.         0.         0.08695438]","[0.         0.01758465 0.01155251 0.01580141 0.         0.
 0.01728164 0.01734043 0.         0.01576562 0.         0.01721164
 0.00998156 0.01768487 0.01766719]","[0.         0.         0.05499669 0.         0.         0.
 0.05607498 0.03452585 0.         0.05650658 0.         0.
 0.         0.05626946 0.05628188]"
"[1.54083878e-03 6.91579319e-05 6.74222387e-03 7.18276053e-03
 7.34173694e-03 7.49188989e-04 5.98984418e-03 7.33009028e-03
 1.76133227e-03 4.12069058e-04 1.72878312e-04 2.23348826e-04
 1.32010705e-05 5.56686767e-05 1.68169351e-06]","[0.00328967 0.00032029 0.0035543  0.00480289 0.         0.00971403
 0.00980565 0.01155635 0.00802686 0.         0.         0.01042001
 0.00029007 0.00931367 0.01070801]","[4.68035436e-04 7.14577904e-06 6.54628192e-03 7.10161403e-03
 7.33911640e-03 2.70312475e-03 4.84936338e-03 7.06749331e-03
 3.16323549e-04 7.50367385e-04 4.51064197e-05 2.35242395e-05
 9.66578055e-06 3.65543482e-05 1.40210119e-07]","[8.14155743e-03 6.72436446e-04 5.86194809e-03 8.29507639e-04
 0.00000000e+00 3.42124837e-03 6.42444615e-03 8.49464597e-03
 5.04023055e-04 6.36830700e-03 1.47828056e-03 5.01656976e-04
 6.05240358e-04 7.55136338e-03 6.70547435e-05]","[6.49198152e-04 4.41328606e-06 6.00810097e-03 7.34053838e-03
 7.33998335e-03 3.17426456e-04 4.85281106e-03 7.14120469e-03
 3.05030225e-04 1.10162253e-03 6.40941762e-05 1.45415677e-05
 5.29505966e-06 3.40551731e-03 2.01256950e-07]","[0.         0.01693142 0.01438742 0.         0.         0.
 0.01252593 0.01767585 0.         0.00692774 0.01043954 0.01570772
 0.00434789 0.0015327  0.00198384]","[6.02246078e-04 7.91673537e-06 5.32188568e-03 6.72366295e-03
 7.34171188e-03 4.62311714e-04 5.55234989e-03 7.18000430e-03
 4.68495519e-04 1.16515058e-03 5.90836873e-05 2.60567577e-05
 3.09792675e-06 1.34960445e-05 1.52177271e-06]","[0.         0.00241634 0.02678473 0.0234988  0.         0.
 0.02821142 0.01992112 0.         0.         0.         0.
 0.00139967 0.02785342 0.00516941]","[1.14122196e-03 5.79551241e-06 6.23476189e-03 6.61186351e-03
 7.34052126e-03 2.12405541e-03 5.60603049e-03 7.22524723e-03
 2.41378937e-03 6.18605048e-03 1.20666825e-04 1.90873110e-05
 6.61845627e-06 1.12429187e-05 2.75723981e-07]","[0.         0.00445974 0.01338309 0.         0.         0.01491049
 0.02211704 0.02228438 0.         0.         0.         0.01346083
 0.0009804  0.02208701 0.02186264]","[5.50579519e-03 2.84159627e-04 7.92886522e-03 8.50702918e-03
 0.00000000e+00 1.34781969e-03 8.34659877e-03 8.46907702e-03
 5.54851654e-04 1.41871691e-03 1.91531743e-03 2.17212285e-03
 1.91354594e-06 1.06076139e-04 5.42987334e-03]","[0.         0.01319476 0.         0.02790154 0.         0.02466805
 0.02772313 0.02906975 0.00985867 0.         0.         0.01474664
 0.0013636  0.         0.        ]"
