TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10.0,TpsRandomic + IndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15.0,TpsRandomic + IndividualEstimated_INR + -15.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10.0,TpsRandomic + CumulativeIndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15.0,TpsRandomic + CumulativeIndividualEstimated_INR + -15.0
"[4.59598977e-04 3.60142975e-04 0.00000000e+00 5.27250096e-04
 7.28706908e-03 3.95909092e-03 8.30064585e-03 8.10498847e-03
 5.49369939e-03 8.77898559e-04 5.03333820e-04 6.39306968e-03
 4.49483439e-05 8.25395341e-03 3.25212277e-03]","[0.01439382 0.         0.         0.02048108 0.         0.01977908
 0.         0.02192902 0.01087853 0.         0.00424566 0.01814122
 0.01101743 0.         0.01481691]","[1.55955533e-05 2.33008851e-04 0.00000000e+00 5.98801286e-04
 8.38352583e-03 3.31498014e-03 8.05833830e-03 8.08577487e-03
 1.63238925e-03 2.29358068e-03 1.53902644e-03 7.52969931e-04
 2.86905913e-05 8.28589138e-03 7.42117683e-03]","[0.01793751 0.02221727 0.         0.01781497 0.         0.00996121
 0.         0.0223577  0.         0.         0.01822097 0.01557709
 0.00914973 0.         0.0167296 ]","[1.43933363e-04 2.43186945e-04 0.00000000e+00 1.42606445e-03
 7.25076470e-03 2.14364238e-03 8.26702714e-03 8.48163665e-03
 9.88818202e-04 4.21866334e-03 8.54462544e-04 4.05387938e-03
 2.99762077e-05 8.42524494e-03 3.18364828e-03]","[0.         0.02358079 0.         0.03585013 0.         0.03800715
 0.         0.03760945 0.         0.         0.01333144 0.
 0.0008113  0.         0.02788202]","[9.88024018e-05 5.03864843e-04 0.00000000e+00 1.70069061e-03
 6.34076845e-03 7.48082953e-03 8.34708642e-03 8.35141969e-03
 7.78080424e-04 1.20134352e-03 2.57036088e-04 3.26050778e-03
 6.38727527e-05 8.44183955e-03 1.98173422e-03]","[0.0099341  0.022287   0.         0.02231454 0.01019662 0.02163851
 0.         0.02203294 0.         0.         0.01734857 0.02022118
 0.01637977 0.         0.        ]","[1.87962864e-03 1.40306726e-05 0.00000000e+00 9.93533364e-03
 0.00000000e+00 8.03348782e-03 9.93952053e-03 9.54199989e-03
 1.65888878e-03 5.88681151e-03 1.24949977e-03 4.51101703e-03
 1.32493834e-04 9.87227235e-03 9.81122878e-03]","[0.         0.         0.         0.00700311 0.02699154 0.02873354
 0.         0.02665905 0.00422873 0.01662872 0.00401156 0.
 0.         0.         0.02018215]","[0.00040138 0.00098094 0.         0.0141507  0.         0.00743902
 0.         0.01353877 0.00728872 0.01207511 0.00980376 0.00881031
 0.00123159 0.         0.00914714]","[0.04574973 0.         0.         0.0213819  0.         0.01055831
 0.         0.05250151 0.         0.         0.00385056 0.02367765
 0.         0.         0.        ]"
"[7.09032684e-03 3.52206475e-03 4.73649700e-03 8.12572416e-03
 4.89507430e-03 4.26153093e-03 6.14251038e-03 2.60708393e-05
 6.02684990e-03 8.26544189e-03 3.11348914e-06 6.72962653e-05
 0.00000000e+00 2.32921168e-04 1.44828731e-06]","[8.93993150e-03 0.00000000e+00 6.38591802e-04 7.36738690e-03
 9.37846559e-03 9.13421622e-03 9.86790642e-03 6.70775929e-05
 9.60465421e-03 1.35956848e-04 5.42388836e-03 9.71587648e-03
 0.00000000e+00 5.85819691e-03 1.60121067e-03]","[8.17312888e-03 3.12444046e-03 6.22577738e-03 7.44741518e-03
 8.25189090e-04 5.92018077e-03 7.71593014e-03 8.53122254e-06
 7.85711291e-03 8.50581019e-03 1.50523578e-05 5.53702317e-05
 0.00000000e+00 4.89942645e-04 4.81312697e-07]","[7.78585472e-03 9.89502034e-03 9.64717871e-03 1.43918423e-04
 9.47373266e-03 8.95779917e-03 8.99810716e-03 1.63085846e-03
 9.72511102e-03 9.01491544e-03 1.25609466e-06 8.30771047e-03
 0.00000000e+00 3.16487274e-03 0.00000000e+00]","[8.40317345e-03 8.11434809e-03 6.64624222e-03 8.02975655e-03
 5.99563995e-03 3.45894441e-03 8.45053167e-03 5.44375283e-05
 8.15667254e-03 8.32592224e-03 4.81535163e-05 1.59532675e-03
 0.00000000e+00 6.29760763e-04 1.14616485e-06]","[0.01727598 0.         0.01322991 0.01626463 0.         0.01724381
 0.         0.01238574 0.         0.01696742 0.01565475 0.01220444
 0.         0.01749252 0.00151506]","[5.69611950e-03 7.25729345e-03 7.31306201e-03 8.40870383e-03
 2.50896040e-03 8.48660969e-03 8.15569947e-03 1.93978833e-04
 6.44675699e-03 8.40589472e-03 1.26279636e-06 5.21932844e-04
 0.00000000e+00 1.02449382e-03 5.62088509e-06]","[0.01403706 0.         0.01236559 0.         0.00604584 0.01221869
 0.01174183 0.01244803 0.01276976 0.00212496 0.00691065 0.01340593
 0.         0.01114041 0.        ]","[8.38429588e-03 6.34439336e-03 8.01075366e-03 7.14232764e-03
 5.67596568e-04 8.33628902e-03 6.64443323e-03 1.32108103e-05
 7.52422467e-03 7.54227241e-03 4.09501771e-05 2.72318810e-04
 0.00000000e+00 2.24720249e-03 3.58724586e-07]","[0.01128085 0.         0.01096025 0.         0.         0.01434468
 0.01479324 0.01619466 0.01701648 0.01343516 0.00642913 0.01736966
 0.         0.0088729  0.        ]","[9.23444735e-04 7.07613280e-03 3.89305503e-03 7.74851708e-03
 2.73404728e-03 4.35814099e-03 7.85996039e-03 7.14491969e-04
 6.31744553e-03 7.90602987e-03 7.59728012e-08 4.48747664e-04
 0.00000000e+00 1.57904334e-04 6.98261577e-07]","[0.01759393 0.         0.01697897 0.01733022 0.         0.00494767
 0.         0.00175396 0.0162037  0.01605668 0.0052563  0.0170685
 0.         0.0138709  0.        ]"
"[2.49551862e-03 1.82420090e-05 3.94710606e-04 1.04474903e-04
 9.49749809e-04 1.82281427e-03 7.07280727e-03 1.17645679e-06
 6.67656684e-03 4.78161648e-03 1.23893566e-03 2.71913724e-05
 3.06930737e-05 7.24732908e-03 2.38823021e-07]","[2.80328087e-03 9.00176121e-03 0.00000000e+00 9.40953614e-03
 5.22353413e-03 7.63507108e-03 9.52538820e-03 6.50695801e-03
 9.71802214e-03 9.89465948e-03 8.83470940e-03 6.89889000e-06
 1.36629078e-05 9.97855255e-03 0.00000000e+00]","[5.75100967e-04 1.93957751e-04 1.80322972e-03 3.09464747e-05
 1.60254478e-03 2.34175682e-03 7.03053958e-03 6.62726964e-07
 6.77806745e-03 5.26529741e-03 2.38026471e-04 2.85742221e-04
 1.72465772e-04 7.02893081e-03 4.48794539e-07]","[0.         0.01758057 0.         0.01131634 0.01682783 0.00833369
 0.01756879 0.01376003 0.         0.         0.01517126 0.00092006
 0.00561393 0.0160198  0.        ]","[2.48468001e-03 9.99123412e-06 6.97242591e-03 1.09525551e-04
 8.54004107e-04 1.86594143e-03 7.31873858e-03 4.39401432e-07
 7.12146533e-03 4.40585444e-03 1.23217517e-03 1.49003606e-05
 4.27528639e-03 7.25170208e-03 2.11580743e-07]","[0.00804542 0.         0.         0.01957024 0.02209998 0.
 0.02216343 0.00921976 0.         0.         0.02039592 0.
 0.01540768 0.02224101 0.01047609]","[1.50884390e-04 7.26044886e-06 8.97964319e-04 4.28553531e-04
 2.11441228e-03 2.74919142e-03 6.51401097e-03 1.77208621e-04
 6.40811470e-03 6.44333712e-03 6.02354938e-05 1.08297779e-05
 7.48244123e-05 7.31971505e-03 6.50111738e-07]","[0.         0.01422345 0.00528789 0.01033776 0.01351296 0.
 0.01403397 0.         0.         0.01433163 0.00571207 0.00228301
 0.00454754 0.01419569 0.00347993]","[3.34126839e-04 9.42462067e-05 4.46437258e-04 2.58816045e-05
 5.03546754e-03 7.19316940e-03 7.00987680e-03 4.21223344e-06
 7.30879003e-03 6.92327538e-03 1.35461521e-04 1.39774705e-04
 3.49553139e-05 6.97052336e-03 3.50764616e-06]","[0.01244314 0.01799479 0.         0.00066016 0.         0.
 0.01953822 0.         0.01525978 0.01094984 0.01776663 0.00033391
 0.01271074 0.         0.        ]","[0.00000000e+00 7.16990440e-04 7.61123133e-04 8.33951181e-06
 9.85395281e-03 9.20923617e-03 9.41568440e-03 1.74343641e-03
 0.00000000e+00 9.94630997e-03 8.16235556e-03 1.12393433e-04
 2.57738478e-04 9.92900924e-03 2.10792189e-04]","[0.         0.01965409 0.         0.02824328 0.02686452 0.
 0.02780938 0.01918981 0.         0.0264787  0.         0.00079841
 0.02669695 0.         0.        ]"
"[1.28899638e-04 1.22981513e-04 7.31777551e-03 7.12597737e-05
 3.31435877e-04 2.07564260e-03 3.86236839e-03 7.33912009e-03
 5.01920053e-04 5.67582654e-03 5.02268555e-04 7.11243968e-03
 7.24608985e-03 4.19944511e-03 7.28179436e-03]","[0.00700324 0.0088455  0.01175258 0.         0.         0.
 0.01033784 0.01187289 0.00284944 0.01042029 0.00306542 0.0118654
 0.00936291 0.01161059 0.00826086]","[5.39336166e-03 5.43175075e-04 6.66628979e-03 1.32558893e-05
 4.36631115e-05 3.50027007e-03 1.45002391e-03 7.33908874e-03
 7.13037613e-03 3.47602198e-03 6.74862118e-03 7.29179652e-03
 5.22344965e-03 1.45247334e-03 6.89188009e-03]","[0.00865286 0.00500873 0.01169185 0.         0.00680999 0.
 0.00817219 0.01186961 0.00939768 0.         0.00708412 0.01173699
 0.01020432 0.00802399 0.00637447]","[8.21120781e-04 1.12015732e-03 7.13869895e-03 2.29673478e-05
 2.09744101e-04 6.29203190e-03 5.44190536e-03 7.33342361e-03
 2.59331233e-03 4.40931683e-03 2.50361889e-03 7.31962327e-03
 6.59098593e-03 2.20005112e-03 7.24570818e-03]","[0.00681895 0.00964226 0.00973737 0.00156552 0.00076059 0.
 0.00121386 0.00995707 0.00273292 0.00852803 0.         0.00998048
 0.00978465 0.00314792 0.00989119]","[1.11223593e-03 1.37071505e-03 7.18079491e-03 1.68467926e-05
 6.21346120e-05 5.85535594e-03 1.53032431e-03 7.33866184e-03
 9.12403191e-04 4.31637351e-03 3.10701175e-03 7.32443311e-03
 6.73689260e-03 1.75272033e-03 7.02060112e-03]","[0.02179552 0.01228518 0.         0.         0.01142143 0.02824649
 0.02737297 0.02854367 0.         0.         0.         0.
 0.         0.02874702 0.02863681]","[2.31304900e-05 2.62662311e-03 8.27306354e-03 6.84088855e-05
 0.00000000e+00 6.17401282e-03 8.24589544e-03 8.51032390e-03
 8.94295628e-04 5.63494948e-03 7.89572958e-03 8.07050369e-03
 7.15021829e-03 5.45950226e-04 8.21138865e-03]","[0.0164294  0.01780065 0.02220251 0.00469701 0.         0.
 0.00560965 0.02234733 0.         0.02235734 0.         0.02223098
 0.         0.         0.0223621 ]","[0.00150041 0.00895488 0.00993094 0.         0.         0.00936318
 0.00055882 0.00998221 0.00082877 0.00559299 0.00739942 0.00997907
 0.00960259 0.00342344 0.00902051]","[0.         0.02545388 0.02855204 0.         0.         0.
 0.0112121  0.0216125  0.         0.         0.02741075 0.
 0.0172006  0.02886192 0.02878603]"
"[2.45310110e-03 2.66165533e-03 3.24991416e-04 7.09686355e-03
 6.00479391e-04 3.89588167e-03 6.33583451e-03 7.28504574e-03
 6.69200533e-03 5.80194864e-04 5.17043424e-04 1.86682295e-04
 4.85217139e-03 3.12604318e-05 5.99210406e-03]","[1.75794248e-04 2.46712477e-03 2.72832717e-04 8.47817693e-03
 4.91436725e-03 7.38916756e-03 7.12991234e-03 8.47498154e-03
 5.68042226e-04 2.57893020e-06 7.03028203e-04 9.57624789e-06
 7.96098048e-03 0.00000000e+00 6.28093597e-04]","[0.00102712 0.00111512 0.00362431 0.00848595 0.00101583 0.00800574
 0.00351061 0.00836267 0.00271692 0.         0.00077344 0.00067728
 0.00728425 0.00504233 0.00093954]","[0.         0.01170026 0.0145711  0.01763301 0.00353658 0.
 0.         0.01181791 0.01076339 0.         0.01759655 0.01696597
 0.01760581 0.         0.01754844]","[0.0010593  0.00794293 0.01062351 0.01186964 0.01106518 0.
 0.0095601  0.01175735 0.00751012 0.         0.00381604 0.00036323
 0.01033261 0.         0.01027515]","[0.         0.01663933 0.02132519 0.02153219 0.02074661 0.
 0.         0.01424371 0.00121609 0.         0.02163417 0.00870027
 0.         0.         0.02232618]","[0.00191487 0.00347293 0.00532976 0.00990223 0.00496266 0.
 0.00671133 0.0099223  0.00061207 0.         0.0016147  0.0015722
 0.00954067 0.00495384 0.00794702]","[0.         0.01838506 0.02162246 0.02076232 0.         0.
 0.         0.01386277 0.01217201 0.         0.02040427 0.01339392
 0.01925917 0.         0.02113613]","[0.00320097 0.00499766 0.01148798 0.01183315 0.00361528 0.
 0.01088382 0.01177165 0.00146472 0.         0.00333885 0.00096793
 0.01142187 0.         0.00828839]","[0.02007759 0.02294767 0.00883655 0.         0.         0.
 0.         0.02756754 0.02301581 0.         0.00891058 0.02595137
 0.         0.         0.02318205]","[0.00360093 0.0042305  0.00872284 0.0118252  0.01089372 0.
 0.01094077 0.01180688 0.00673647 0.         0.00435566 0.00032664
 0.0114884  0.         0.00757235]","[0.         0.04308432 0.         0.         0.00715781 0.
 0.         0.0543047  0.00593849 0.         0.         0.
 0.04059222 0.         0.0200136 ]"
"[3.08894749e-03 4.10069334e-04 7.71651698e-03 7.60334223e-04
 8.32796927e-03 2.34617449e-04 7.91896748e-03 0.00000000e+00
 8.47279488e-03 2.26092395e-03 3.97501356e-03 1.32518405e-05
 4.63483678e-03 8.45595091e-03 4.26400860e-04]","[0.01295597 0.01341739 0.         0.         0.01364828 0.01414926
 0.014034   0.         0.01337756 0.0113911  0.01069522 0.00418107
 0.01035224 0.00497822 0.        ]","[9.23178778e-03 1.87479119e-04 0.00000000e+00 1.74465472e-03
 9.98313987e-03 4.02810682e-05 8.21918098e-03 0.00000000e+00
 9.78589552e-03 4.59465496e-03 4.92668960e-03 8.20432030e-03
 8.46070633e-03 6.80780559e-03 9.19076220e-04]","[0.01112161 0.01144561 0.         0.00207233 0.01159755 0.0118519
 0.0104947  0.         0.00553593 0.01168708 0.00960702 0.00106259
 0.0018692  0.0068337  0.        ]","[1.85517306e-03 3.33584300e-03 0.00000000e+00 3.58049405e-04
 9.86699267e-03 5.15036374e-05 6.27361935e-03 0.00000000e+00
 9.43113168e-03 5.72337096e-03 3.94336345e-03 1.06632458e-03
 9.34709330e-04 9.80952860e-03 1.74711738e-04]","[0.01024141 0.01752868 0.         0.         0.         0.01742417
 0.0155974  0.         0.01757571 0.01754713 0.01210674 0.00247029
 0.01743428 0.01498408 0.        ]","[6.09856988e-03 2.40268379e-05 8.93789387e-04 2.23670875e-04
 8.19218659e-03 4.29286257e-04 8.23575188e-03 0.00000000e+00
 7.57937488e-03 1.41130538e-03 5.76293215e-03 5.84839683e-05
 5.33462879e-04 5.51455248e-03 1.21727392e-04]","[0.00448274 0.0143073  0.         0.00475132 0.         0.00672434
 0.01100287 0.         0.01430998 0.00824283 0.00552511 0.00167031
 0.00705895 0.00851456 0.        ]","[2.67502492e-03 7.17373569e-05 0.00000000e+00 1.24633256e-03
 9.64373322e-03 1.70344218e-05 6.79635837e-03 0.00000000e+00
 9.94380634e-03 3.93797523e-03 4.99345137e-03 1.20903910e-03
 1.41877532e-03 4.46963084e-03 6.38292434e-04]","[0.00621535 0.00655458 0.         0.00919398 0.0064787  0.01662777
 0.01193407 0.         0.         0.0171069  0.01030268 0.00091818
 0.01617654 0.         0.        ]","[4.95460292e-03 1.18501619e-04 0.00000000e+00 5.62730986e-04
 9.75676624e-03 6.01759004e-05 9.48161743e-03 0.00000000e+00
 9.03737667e-03 3.53526560e-03 6.45127645e-03 9.83408854e-04
 3.07874440e-03 5.72696128e-03 2.77605858e-04]","[0.0205983  0.02219085 0.         0.         0.         0.02131606
 0.         0.         0.02188462 0.01116404 0.02083197 0.00203528
 0.02074787 0.021507   0.        ]"
"[7.19012392e-03 8.60062781e-04 7.30124311e-03 6.03298082e-05
 4.65960758e-03 3.56352357e-03 8.94931802e-06 6.73921098e-03
 6.97782663e-03 5.80699704e-03 2.96953831e-03 1.67532888e-08
 1.62688750e-03 2.10918726e-05 7.25715520e-03]","[0.         0.01744437 0.01722862 0.0120012  0.         0.0119682
 0.         0.01354464 0.01407781 0.00748216 0.         0.00018945
 0.00130566 0.00682513 0.        ]","[6.84171387e-03 6.56878710e-04 6.69577327e-03 2.73761507e-05
 5.04381538e-03 2.10528227e-03 2.17171290e-05 7.09989452e-03
 7.24828559e-03 2.10893999e-03 1.20403238e-03 1.24250467e-08
 1.18858513e-04 9.54279916e-06 7.27467786e-03]","[0.         0.01652415 0.01037372 0.01489375 0.         0.0152845
 0.01745363 0.01695562 0.01693043 0.         0.         0.
 0.01027468 0.00699892 0.01737966]","[9.68320457e-03 2.09718514e-03 4.41548843e-03 5.00789542e-04
 0.00000000e+00 3.80425595e-03 9.23521948e-03 9.69159122e-03
 5.76965224e-03 2.12932422e-03 0.00000000e+00 5.08555297e-05
 3.65054706e-04 2.51951893e-05 9.85235186e-03]","[0.         0.01390017 0.02052261 0.01800444 0.         0.01406432
 0.         0.02156992 0.01513889 0.         0.         0.
 0.01227697 0.00156726 0.02185627]","[7.58101696e-03 1.00287327e-03 7.49855296e-03 5.75109996e-06
 9.42636824e-05 4.03442839e-03 1.37540944e-03 7.83512892e-03
 8.32638328e-03 7.94676924e-03 0.00000000e+00 4.81086141e-06
 4.03628426e-04 2.28288068e-07 8.47646711e-03]","[0.         0.00927556 0.02174285 0.00248905 0.         0.01503452
 0.         0.02191933 0.0182579  0.01720885 0.         0.
 0.02036282 0.00050962 0.        ]","[8.78801283e-03 1.24274936e-03 4.87349497e-03 5.23667564e-04
 0.00000000e+00 5.90763569e-03 5.92621229e-03 9.68884411e-03
 9.86007299e-03 2.37024496e-03 0.00000000e+00 8.67116827e-05
 8.57624305e-05 1.34864310e-05 9.87430490e-03]","[0.         0.0152231  0.         0.00079616 0.         0.02578812
 0.02513509 0.         0.02129572 0.02080278 0.         0.
 0.00475473 0.00992339 0.        ]","[1.08734664e-02 5.73763927e-05 1.01189060e-02 3.92191431e-04
 0.00000000e+00 5.53912964e-03 0.00000000e+00 1.14897151e-02
 1.08794188e-02 4.26772958e-03 0.00000000e+00 9.26020651e-05
 1.64956460e-04 5.58665144e-07 1.17934554e-02]","[0.         0.02993909 0.         0.02852168 0.         0.03872824
 0.01338815 0.         0.03673675 0.         0.         0.
 0.03639085 0.0025369  0.        ]"
"[1.78966778e-05 1.27928507e-03 7.24924061e-03 1.43860760e-06
 7.09511852e-06 1.26238277e-03 7.02254654e-05 3.72348589e-03
 6.63891294e-03 4.69577289e-04 6.01949998e-03 3.82447997e-03
 2.35477521e-03 4.42559908e-05 7.08552912e-03]","[0.         0.00181264 0.02225409 0.01903337 0.00486438 0.02123473
 0.01631527 0.         0.         0.01943    0.         0.
 0.02031587 0.02152574 0.        ]","[1.50196616e-04 6.25059719e-03 7.28677314e-03 7.49703425e-07
 1.00613994e-05 6.25475936e-03 1.49600770e-04 6.36246435e-03
 7.20191460e-03 2.08161330e-04 7.15798438e-03 7.10134213e-03
 3.25697023e-03 2.31260032e-05 7.15932390e-03]","[0.         0.         0.         0.00491557 0.02086916 0.00165086
 0.00888417 0.         0.         0.01613216 0.02232906 0.02151713
 0.01464353 0.02104318 0.        ]","[4.53502160e-03 1.02253272e-02 1.18489794e-02 4.89928825e-04
 8.05635634e-04 1.78674206e-04 6.70144158e-04 0.00000000e+00
 0.00000000e+00 2.38171964e-03 1.11838664e-02 0.00000000e+00
 1.10231795e-02 8.42639775e-05 1.16038769e-02]","[0.         0.         0.         0.00172951 0.03036139 0.
 0.         0.         0.         0.02718747 0.         0.
 0.03317685 0.02600708 0.02634771]","[3.03065565e-03 4.94910713e-03 1.18648030e-02 1.80384780e-03
 3.52712032e-05 4.94817884e-04 5.97460637e-03 0.00000000e+00
 0.00000000e+00 7.02844525e-03 1.15666646e-02 0.00000000e+00
 8.38361731e-03 4.68803787e-05 9.87793953e-03]","[0.00793805 0.         0.         0.01437969 0.00060416 0.00500025
 0.         0.01743828 0.         0.0222295  0.02193979 0.
 0.00994079 0.01748652 0.        ]","[0.00907912 0.01640384 0.         0.00028437 0.00047026 0.01702865
 0.0024594  0.         0.         0.01322992 0.01761295 0.
 0.01182711 0.01475439 0.        ]","[0.         0.         0.         0.00153874 0.02795834 0.
 0.         0.         0.         0.01937747 0.05295939 0.
 0.04270646 0.04235674 0.        ]","[0.01464256 0.01305266 0.         0.00033518 0.01544698 0.01211582
 0.         0.         0.         0.01519786 0.0217035  0.
 0.02084532 0.00256856 0.        ]","[0.         0.         0.         0.00028092 0.00831378 0.04398645
 0.         0.         0.         0.05449683 0.         0.
 0.04469169 0.02863865 0.        ]"
"[1.85912544e-08 7.34195387e-03 7.71943412e-04 3.44878025e-04
 7.11097248e-03 1.50340497e-03 1.22195990e-05 4.09556832e-03
 6.43742731e-03 5.47338380e-03 7.30397812e-03 7.34190275e-03
 7.26338628e-03 1.53113851e-04 7.33472996e-03]","[0.0021735  0.01378508 0.00451702 0.01368215 0.0142364  0.01233196
 0.00795683 0.01078725 0.01381413 0.00784789 0.         0.
 0.         0.01393458 0.        ]","[5.64951300e-09 7.91950653e-03 8.29607279e-03 8.18626383e-05
 8.50159416e-03 3.41707756e-03 3.39219943e-05 7.80031831e-03
 7.57438204e-03 8.30367701e-03 8.12683080e-03 0.00000000e+00
 7.75727370e-03 2.20781203e-03 8.41412423e-03]","[0.01022589 0.01620934 0.01207636 0.01756429 0.01714197 0.01606688
 0.00363662 0.         0.01684236 0.00547957 0.         0.
 0.         0.01649256 0.        ]","[1.98987188e-08 8.34908166e-03 6.07188627e-03 7.54464763e-05
 8.18310771e-03 7.49910049e-03 1.77599664e-05 6.95368992e-03
 7.26568129e-03 5.08427545e-03 8.39863863e-03 0.00000000e+00
 8.30144944e-03 1.88401542e-04 8.40586572e-03]","[0.00031799 0.01180638 0.0053212  0.00909073 0.01132966 0.01005068
 0.00570078 0.         0.00321032 0.01158799 0.00893087 0.
 0.01185151 0.00052707 0.        ]","[2.28232697e-08 7.88529872e-03 6.66265973e-03 6.66731516e-05
 8.28114394e-03 7.96551792e-03 3.69836531e-04 8.15691799e-03
 8.16301266e-03 5.38089818e-03 8.41292879e-03 0.00000000e+00
 7.71463431e-03 2.70114841e-04 8.39203908e-03]","[0.00016847 0.01183102 0.01168293 0.00980393 0.01186181 0.00767853
 0.00692089 0.01114445 0.01173192 0.00956339 0.01139277 0.
 0.         0.00049697 0.        ]","[4.27252951e-08 9.84244038e-03 5.43704596e-03 2.42230735e-03
 9.87865468e-03 9.25289899e-03 9.32658366e-05 9.19639693e-03
 9.22341481e-03 9.96149686e-03 9.72823631e-03 0.00000000e+00
 9.84077569e-03 9.51931669e-05 0.00000000e+00]","[0.02565861 0.03249541 0.02333999 0.         0.         0.01479876
 0.02890243 0.         0.         0.03874813 0.         0.
 0.         0.02544828 0.        ]","[2.65849885e-05 1.17214054e-02 8.66427318e-03 7.79779499e-03
 1.16769060e-02 8.60825963e-03 2.02320755e-04 1.10400488e-02
 1.15001022e-02 1.02249877e-02 0.00000000e+00 0.00000000e+00
 1.18689153e-02 4.81852975e-06 0.00000000e+00]","[0.         0.039353   0.         0.02065634 0.         0.03948228
 0.00016575 0.03229807 0.         0.02374641 0.         0.
 0.         0.02132666 0.        ]"
"[7.13604177e-03 2.12929715e-06 3.37121421e-05 5.23038675e-06
 5.52407875e-03 1.69435270e-03 7.32729754e-03 5.71882995e-03
 1.20400340e-03 5.62849090e-07 9.03859034e-04 3.92094606e-04
 7.28232600e-03 6.41435012e-04 5.72241378e-03]","[0.         0.00121338 0.         0.00347001 0.00976792 0.00578161
 0.00642261 0.00773408 0.01389967 0.         0.         0.0120068
 0.01433716 0.01386581 0.01244005]","[7.21214163e-03 7.43744493e-05 4.51330695e-03 3.72120874e-06
 6.15908020e-03 1.50422253e-03 6.63260488e-03 1.69630977e-03
 4.39904013e-03 3.57552672e-07 1.34879511e-03 4.88651524e-03
 7.34180148e-03 4.68065958e-04 6.30117716e-03]","[0.         0.00374462 0.         0.01038461 0.00585858 0.01299259
 0.01057248 0.01679822 0.01690416 0.         0.         0.01159236
 0.01658421 0.01697349 0.        ]","[8.44423998e-03 1.52649750e-04 0.00000000e+00 1.78724581e-06
 6.14309501e-03 5.57504798e-04 8.45136483e-03 4.72915562e-06
 5.11956445e-03 1.53552317e-03 7.27093726e-03 3.42185789e-04
 8.50131593e-03 2.94212500e-04 5.93394574e-03]","[0.         0.02471549 0.         0.00853298 0.         0.
 0.         0.03854153 0.03848306 0.         0.         0.03939821
 0.03857293 0.03567301 0.        ]","[7.10581721e-03 2.55660678e-07 2.85032134e-05 1.10830757e-06
 2.95087306e-03 1.69105132e-03 7.22607396e-03 5.21403337e-04
 4.16211674e-03 5.98083938e-07 7.97775024e-04 4.93846716e-05
 7.27147898e-03 1.45890694e-04 3.22047997e-03]","[0.         0.00104727 0.         0.00402632 0.01552989 0.00228459
 0.01685136 0.00945029 0.01744564 0.         0.         0.01670067
 0.0158706  0.01740577 0.        ]","[8.28355392e-03 1.02014652e-04 0.00000000e+00 1.44679225e-05
 3.43884478e-03 7.63865360e-04 8.05633255e-03 8.18922431e-06
 7.32492434e-03 3.45963757e-04 6.58233610e-03 1.01961417e-04
 8.49617808e-03 1.91483773e-03 3.19747617e-03]","[0.         0.01008964 0.         0.00183242 0.02353319 0.
 0.         0.         0.         0.01087445 0.02714852 0.02892578
 0.02680805 0.02335371 0.        ]","[1.17032971e-02 2.60965688e-06 0.00000000e+00 0.00000000e+00
 1.15865286e-02 7.08788154e-03 1.09986087e-02 1.01279929e-02
 7.51504879e-03 0.00000000e+00 8.18237594e-03 8.47429946e-03
 1.18709317e-02 6.00793604e-03 9.16999825e-03]","[0.         0.00047355 0.         0.         0.03742539 0.
 0.         0.03947608 0.03654156 0.0350333  0.         0.
 0.0394787  0.0187372  0.        ]"
